字母,等级,歌名,歌手,突变,技能,单排爆点,开头描述,结尾描述,半cb,全cb,分数,单指数
S,7,"Sugar Rush","吴映洁",,红色,72,A - 右下角数字 7 蓝条开始,A - 右上角数字 1 单点,178,373,1044666,30 + 0.2
,,"The Fire","吉克隽逸",,红色,180,B - 左下角数字 1 单点,B - 左下角数字 7 绿条中间,137,262,761563,28 - 0.4
L,6,"LOVE IT LIVE IT","YDPP",,红色,147、259,B - 左上角数字 7 蓝条开始,B - 左下角数字 6 单点,138,301,858886,24 - 0.1
W,6,"我的梦","张靓颖",,红色,132,B - 右上角数字 3 蓝条开始,B - 左上角数字 4 蓝条结尾,121,293,830284,28 + 0.0
K,10,"克罗地亚狂想曲","马克西姆",,,127、209、507,A - 左下角数字 9 蓝条开始,A - 右下角数字 12 蓝条结尾、左下角数字 1 绿条开始,442,800,2635198,52 + 0.3
G,10,"Get It On The Floor","DMX",,,612,B - 左下角数字 5 蓝条结尾、上面数字 6 单点,B - 右下角数字 11 绿条结尾、左下角数字 12 蓝条结尾、上面数字 1 单点,390,753,2036862,41 + 0.2
H,9,"Hey Baby 你是我的","李佳薇",20,,247,B - 左下角数字 3 绿条结尾、右下角数字 4 单点,B - 左边数字 10 单点,240,515,1456547,29 + 0.1
,,"长腿叔叔","袁娅维",,红色,187,B - 右下角数字 2 单点,B - 左上角数字 2 蓝条结尾,106,239,660725,25 + 0.0
W,8,"What Do You Mean?","Justin Bieber",,红色,357,B - 下面数字 1 蓝条开始,B - 左上角数字 6 单点,196,405,1052337,32 + 0.0
B,8,"白骑士","QQ炫舞原创",,红色,245,B - 左上角数字 11 蓝条开始,B - 右下角数字 10 单点、左下角数字 10 单点,205,418,1110848,33 + 0.0
,,"Talk Dirty","Jason Derulo/2",,红色,146,B - 左下角数字 3 单点,B - 左下角数字 2 单点,114,195,508289,19 - 0.1
*,7,"1234喜欢你","王欣宇",,,126、127、128、301、302、303,A - 右上角数字 1 单点,A - 左上角数字 5 单点,189,391,1061874,25 + 0.0
J,6,"芥末巧克力","杨丞琳",,红色,195、196、196,B - 左上角数字 2 单点,B - 左上角数字 7 单点、左上角数字 8 单点（cool）,120,274,819601,28 + 0.0
,,"全部都是你","Dragon Pig",,红色,125、126、129、132,B - 左下角数字 4 单点,B - 右下角数字 1 单点,84,168,653796,29 + 0.0
K,7,"KNOCK KNOCK","TWICE",,红色,89,A - 右上角数字 9 单点,A - 右下角数字 5 单点,134,345,1084382,32 + 0.0
J,7,"就是你","范玮琪",,红色,411,B - 右边数字 5 绿条结尾、下面数字 6 绿条开始,B - 右上角数字 9 蓝条结尾、左上角数字 10 绿条开始,219,494,986792,28 + 0.3
,,"吸引定律","Awaken-F",,红色,157、158、160、162、164,B - 左下角数字 12 单点,B - 右上角数字 4 单点,98,192,593231,20 - 0.1
L,10,"恋のパーフェクト微分方程式","ユウノウミ",,,237、238、239、518、519、520,A - 下面数字 5 单点,A - 右上角数字 4 蓝条开始,314,595,1681912,33 + 0.4
M,6,"漫时光","QQ炫舞",,,102、103、104、130、222、233、234、235、261,A - 右上角数字 1 单点,A - 右上角数字 4 单点,202,350,892936,23 - 0.5
,,"空山新雨后","音阙诗听/锦零",,红色,144、145、145,B - 右上角数字 5 单点,B - 右上角数字 10 单点、右上角数字 11 单点（cool）,101,214,566311,23 - 0.1
C,10,"CLEAR","坂本真綾",,,196、455,A - 左上角数字 5 单点,A - 左上角数字 2 单点,318,677,2047911,45 + 0.0
G,10,"更新","Sabão",,,466、513,B - 右下角数字 11 绿条结尾,B - 右下角数字 6 单点,245,547,1713609,30 + 0.3
Y,6,"夜空中最亮的星","逃跑计划",,红色,195、196、196,B - 左上角数字 6 单点,B - 右下角数字 2 单点、右下角数字 3 单点（cool）,178,329,964434,31 + 0.0
T,8,"TOUCH MY HEART","罗志祥",,红色,136、289,A - 下面数字 3 绿条结尾、左上角数字 4 单点,A - 右下角数字 8 蓝条结尾,236,432,1074976,30 - 0.4
B,8,"Brave Heart","宮崎歩",,,277,A - 左下角数字 1 单点,A - 右下角数字 9 单点、左下角数字 9 单点,317,567,1250251,28 + 0.4
W,7,"Wolves","Selena Gomez/Marshmello",,,373,B - 左下角数字 12 绿条结尾、右下角数字 13 单点,B - 左下角数字 16 蓝条结尾、右上角数字 1 绿条开始,214,431,1026707,24 + 0.3
P,7,"Play It Cool","Steve Aoki/MONSTA X",,红色,236、237,B - 右下角数字 1 单点,B - 上面数字 4 单点,143,297,803014,24 - 0.2
*,10,"123我爱你(困难版)","新乐尘符",,,464、465、466、536、537、538,B - 右边数字 3 单点,B - 下面数字 7 蓝条结尾、左下角数字 8 蓝条开始,389,764,1990251,41 - 0.4
,,"Loved","Highlight",,红色,164、165、165,B - 左上角数字 3 单点,B - 右下角数字 7 单点、右下角数字 8 单点（cool）,161,311,828508,25 - 0.1
S,7,"Synchronise","INFINITE",,红色,129、134、138、139、285、290、294、295,A - 右上角数字 1 单点,A - 左上角数字 4 单点,168,347,906737,27 + 0.0
M,10,"MY舞☆TONIGHT","Aqours",,,608,B - 右上角数字 1 蓝条开始,B - 右上角数字 4 蓝条结尾、左下角数字 5 单点,419,889,2550130,43 + 0.0
F,6,"Flamingo","米津玄師",,红色,136,A - 左上角数字 4 绿条结尾,A - 左下角数字 6 蓝条结尾,165,328,884516,25 + 0.1
C,9,"Crash","The Primitives",,,454、503,B - 右上角数字 1 蓝条结尾、左下角数字 2 单点,B - 左下角数字 6 蓝条结尾、右上角数字 7 单点,235,549,1358364,31 - 0.5
S,10,"帅一个","罗志祥",,红色,378、454,B - 右下角数字 3 蓝条开始,B - 右上角数字 6 蓝条结尾、左上角数字 7 绿条开始,206,526,1525732,44 - 0.1
C,10,"Candy Pop","TWICE",,,245,B - 左下角数字 1 单点、右下角数字 1 单点,B - 右下角数字 7 绿条开始,244,564,1567384,34 + 0.1
,,"Monsters","Katie Sky",,红色,172、173,B - 左上角数字 8 单点,B - 左上角数字 12 单点,107,235,565773,20 - 0.1
,,"ME!","Taylor Swift/Brendon Urie",,红色,106、107、107,B - 左下角数字 1 单点,B - 右下角数字 5 单点、右下角数字 6 单点（cool）,81,186,452948,20 + 0.4
X,7,"星期天","张紫豪",,红色,232、233、233,B - 左下角数字 1 单点,B - 左上角数字 5 单点、左上角数字 6 单点（cool）,135,290,792236,27 + 0.0
F,9,"Faded(困难版)","Alan Walker",,,442,B - 右上角数字 1 单点,B - 左下角数字 7 单点,287,583,1772158,35 + 0.0
G,9,"工笔","Awaken-F",,,265、266,B - 左上角数字 6 单点,B - 右上角数字 12 蓝条中间,202,456,1477647,35 + 0.0
,,"For You","高颖浠",,红色,201,B - 左上角数字 6 单点,B - 左下角数字 1 单点,137,249,780704,30 - 0.1
*,9,"プライド革命","CHiCO with HoneyWorks",,,211、472,A - 左下角数字 2 单点,A - 左上角数字 2 单点,252,515,1448843,26 + 0.0
F,10,"Flower Dance(困难版)","DJ OKAWARI",,红色,150、443,A - 右上角数字 10 蓝条结尾、下面数字 11 蓝条开始,A - 上面数字 6 蓝条结尾、下面数字 7 蓝条开始,228,574,1700861,47 + 0.0
,,"Pure","向井太一",,红色,182、182、185,B - 中间数字 1 单点（cool）、左边数字 2 单点,B - 右边数字 6 单点、右边数字 7 单点（cool）,118,229,612214,28 - 0.5
X,6,"虚拟","陈粒",,红色,143、143、143、143、144、144、144、144、145、145,A - 中间数字 1 单点（cool）、左边数字 2 单点,A - 左上角数字 6 蓝条开始,208,412,1187400,43 + 0.0
X,6,"炫舞","陈伟霆",,红色,362,B - 左边数字 1 蓝条开始,B - 右上角数字 3 单点,232,448,773965,21 - 0.5
,,"没有你的冬季","阿云嘎",,红色,149、300,A - 左下角数字 9 蓝条结尾、右上角数字 10 单点,A - 左边数字 13 蓝条结尾、右上角数字 14 绿条开始,206,387,1094807,32 + 0.1
Z,10,"直到世界终结(困难版)","WANDS",,,285、401,B - 左上角数字 4 蓝条开始,B - 左下角数字 3 绿条开始,281,693,1798262,36 + 0.3
D,10,"Dura","Daddy Yankee",,,178,A - 右上角数字 16 蓝条开始,A - 右下角数字 9 蓝条结尾、左上角数字 10 单点,309,760,2311822,49 + 0.0
,,"雨后的咖啡","SNP",,红色,247、248、258、259,B - 右上角数字 1 蓝条开始,B - 左上角数字 3 单点、中间数字 4 单点（cool）,150,297,739460,26 - 0.2
,,"Baby Don't Cry","于湉",,红色,229,B - 左下角数字 4 绿条结尾,B - 右边数字 7 单点,139,271,813445,26 + 0.1
X,9,"響喜乱舞","GARNiDELiA",,,138、139、142、146、149、150、157、384、385、388,A - 左上角数字 1 单点,A - 左下角数字 7 单点,273,520,1450172,30 + 0.0
,,"大碗宽面","吴亦凡",,红色,120,B - 左下角数字 4 单点,B - 左下角数字 2 蓝条结尾,104,222,631445,26 + 0.1
W,10,"Why So Lonely","Wonder Girls",,,338,B - 左下角数字 5 绿条中间、右上角数字 6 单点,B - 右下角数字 10 蓝条结尾、左下角数字 11 单点,289,634,1787544,35 - 0.1
H,6,"魂不守舍","朱星杰",,红色,252,B - 左下角数字 6 绿条结尾、右上角数字 1 单点,B - 左边数字 5 单点,154,318,863411,26 + 0.3
W,6,"我们是太阳","筷子兄弟",,红色,108、109、109、280、281、281,A - 右下角数字 9 单点,A - 右下角数字 12 蓝条中间,184,370,921655,27 - 0.2
M,8,"马上上马","庄园",,红色,245、464,A - 左下角数字 4 蓝条结尾、右下角数字 5 蓝条开始,A - 左下角数字 6 蓝条结尾、右下角数字 7 蓝条开始,311,556,1708806,48 - 0.1
V,10,"VORACITY","MYTH & ROID",,,200、408,A - 中间数字 2 单点、左边数字 2 单点,A - 左下角数字 8 绿条结尾、右下角数字 8 绿条结尾,260,650,1648815,29 - 0.3
X,8,"幸福症候群","nanawoakari",,红色,203,B - 左下角数字 6 单点,B - 右上角数字 3 单点,178,441,1148151,33 - 0.2
,,"朝代","排骨教主",,红色,230,B - 右上角数字 3 单点,B - 右上角数字 8 绿条开始,128,272,761870,27 + 0.3
L,9,"凉凉(困难版)","杨宗纬/张碧晨",50,,657,B - 左上角数字 1 单点,B - 右上角数字 3 单点,449,876,2076720,37 + 0.4
F,9,"flower of sorrow","花たん",,,375、376,B - 左下角数字 8 绿条结尾,B - 左上角数字 7 单点,210,471,1359774,28 + 0.3
M,8,"觅","王喆",,,455、456、457,B - 右上角数字 1 单点,B - 右下角数字 4 蓝条结尾、左上角数字 5 单点,231,490,1571837,33 + 0.0
D,9,"Dear Future Husband","Meghan Trainor",,,70,A - 右下角数字 3 单点,A - 左下角数字 8 单点,225,538,1647523,32 - 0.2
,,"芒种","音阙诗听/赵方婧",,红色,182,B - 右边数字 8 单点,B - 左下角数字 3 单点,139,242,672466,25 - 0.1
L,10,"林中鸟(困难版)","葛林",,,67,A - 右下角数字 4 单点,A - 左下角数字 4 蓝条结尾、右下角数字 5 单点,355,776,1981009,31 + 0.0
S,9,"Stand By Me","the peggies",,,235、236、237、239、240、243、564、565、566、568,A - 左上角数字 3 蓝条开始,A - 左上角数字 5 蓝条结尾、右上角数字 6 单点,374,703,1760591,32 - 0.4
R,7,"仁心所向","河图",,,227、229、442、444,A - 右上角数字 1 单点,A - 右边数字 3 单点,286,501,1115149,25 - 0.4
B,9,"Bright Burning Shout","T.M.Revolution",,,242、243、244、248、668、669、670、674,A - 左上角数字 8 蓝条开始,A - 右下角数字 8 绿条结尾、左下角数字 1 单点,378,774,1810480,34 - 0.4
S,7,"是我","张韶涵",,红色,325,B - 左上角数字 1 单点、上面数字 1 单点,B - 右上角数字 12 蓝条结尾、左下角数字 13 绿条开始,226,474,1062308,31 - 0.1
,,"HERO","李子璇",,红色,192、193、193,B - 左下角数字 1 单点,B - 右边数字 4 单点、右边数字 5 单点（cool）,140,283,839121,29 + 0.2
N,7,"牛奶面包","杨紫/鱿小鱼",,红色,114、114、119、119、120、120、121、121、126、126,A - 中间数字 1 单点（cool）、右边数字 2 单点,A - 右边数字 8 单点、右边数字 9 单点（cool）,212,362,1215701,37 + 0.0
V,10,"Victory(困难版)","Bond",,,321、324、327、330,A - 左上角数字 5 蓝条结尾、右上角数字 6 蓝条开始,A - 左上角数字 5 蓝条结尾、右上角数字 6 蓝条开始,552,1032,3379074,58 + 0.0
,,"无名之辈","陈雪燃",,红色,196,B - 右上角数字 1 单点,B - 左上角数字 3 绿条中间,113,247,477557,20 - 0.2
,,"漫过","吴映香",,红色,222、222、242、242,B - 中间数字 4 单点（cool）、左边数字 5 单点,B - 左边数字 10 单点、左边数字 11 单点（cool）,134,277,732685,25 - 0.5
Z,9,"钻石微笑","Run Girls, Run！",,,418、419,B - 下面数字 1 单点,B - 上面数字 8 单点,277,549,1495192,26 - 0.1
*,9,"デートアライブ","sweet ARMS",,,197、251、491、545,A - 右上角数字 9 绿条中间,A - 右上角数字 2 单点,322,620,1415972,29 - 0.5
B,7,"白衣少年","许诗茵",,,131、132、133、367、368、369,A - 上面数字 1 单点,A - 左上角数字 3 蓝条结尾,220,469,1292935,26 + 0.2
D,10,"大艺术家(困难版)","蔡依林",,,384、836,A - 左上角数字 3 单点、右下角数字 3 单点,A - 上面数字 8 蓝条中间,527,951,2797888,66 + 0.0
H,7,"好想告诉你","谷泽智文",,红色,190、191、191,B - 右上角数字 9 单点,B - 右边数字 4 单点、右边数字 5 单点（cool）,151,369,989043,31 + 0.0
G,7,"更发光","以团之名",,,159、160、161、165、166、167,A - 左下角数字 1 单点,A - 右下角数字 4 单点,234,421,1084990,27 - 0.1
D,6,"带我走","杨丞琳",,红色,289、290,B - 下面数字 9 绿条结尾,B - 左边数字 6 蓝条结尾,203,410,957093,26 + 0.2
,,"Loki","BC221",,红色,181、182、183、184,B - 左上角数字 4 单点,B - 右上角数字 9 单点,167,324,828453,24 - 0.1
Q,10,"琪露诺的完美算术教室","IOSYS",,,458、463、774、779,A - 右上角数字 10 绿条结尾、左下角数字 13 单点,A - 右下角数字 15 蓝条结尾、左上角数字 16 蓝条开始,519,936,2652652,48 + 0.3
N,7,"那时正好","赵政豪",,,271,B - 右上角数字 4 单点,B - 右下角数字 6 单点,170,439,1028393,23 + 0.4
G,8,"灌溉爱","郭采洁",,红色,89,A - 左下角数字 4 单点,A - 右上角数字 4 单点,201,377,919970,26 - 0.5
,,"Too Much","Carly Rae Jepsen",,红色,171,B - 左下角数字 1 单点,B - 右边数字 9 单点,95,198,452120,21 - 0.3
I,7,"I'm OK","小青龙",,红色,191,A - 右下角数字 5 蓝条中间,A - 右下角数字 9 蓝条结尾、上面数字 10 蓝条开始,237,510,1493173,47 + 0.0
Q,7,"倾杯","SING女团",,,343、346,B - 左下角数字 1 单点、右下角数字 1 单点,B - 右下角数字 5 单点,207,384,992314,26 - 0.1
C,8,"长安诀","汪苏泷",,红色,131、392,A - 左下角数字 7 绿条结尾、右下角数字 1 单点,A - 左下角数字 6 单点,191,487,1221433,33 + 0.3
C,8,"Close To Me","Ellie Goulding/Diplo/Red Velvet",,红色,105、329,A - 左下角数字 5 蓝条结尾、右边数字 6 单点,A - 中间数字 10 蓝条结尾、右上角数字 11 单点,203,452,1072538,31 + 0.1
,,"Turn Up","周汤豪",100,红色,267,B - 左上角数字 1 绿条结尾、右下角数字 2 单点,B - 左下角数字 7 单点,155,316,834559,26 + 0.0
A,8,"Angel With A Shotgun","Nightcore",,红色,104、107、242、245,A - 右下角数字 1 单点,A - 左下角数字 4 蓝条结尾、右下角数字 5 单点,191,432,1045784,30 - 0.5
C,9,"Candy Boy","TWICE",,,426、427、428、429、430,B - 右下角数字 6 蓝条结尾,B - 左下角数字 5 蓝条结尾、右下角数字 5 蓝条结尾,248,606,1602460,36 + 0.0
G,6,"耿耿于怀","王笑文",,,397、398、432、433,B - 左上角数字 1 单点,B - 左上角数字 10 蓝条中间,219,465,1335716,29 - 0.2
E,9,"E.T.","Katy Perry",,红色,172、394,A - 中间数字 4 蓝条结尾、下面数字 5 单点,A - 中间数字 9 蓝条结尾、下面数字 10 单点,222,483,1268569,35 + 0.0
,,"观花","萌娜丽莎/郑冰冰",,红色,204,B - 左下角数字 16 单点,B - 左下角数字 2 蓝条结尾,153,289,781770,24 - 0.1
,,"德寿宫石墙路的春天","允儿/10cm",,红色,169,B - 右上角数字 1 蓝条开始,B - 右下角数字 5 单点,132,239,751530,28 + 0.0
B,6,"别爱太满别睡太晚","贺一航",,红色,101、291,A - 右上角数字 1 单点,A - 左下角数字 7 单点,177,367,835804,24 - 0.4
W,10,"Whistle(困难版)","Flo Rida",,,229、230、231、232、234、237、238、239、241,A - 左上角数字 6 单点,A - 右下角数字 1 单点,393,867,2085822,38 - 0.1
,,"鍵ノ間","黒兎ウル",,,216,B - 左上角数字 9 绿条结尾、右下角数字 1 单点,B - 右下角数字 7 单点,205,468,1513705,31 + 0.3
Z,8,"仲夏","王北车",,,148、149、344、345,A - 右下角数字 1 单点,A - 右边数字 11 单点,203,471,1224442,23 - 0.1
F,10,"Fanfare","Sumika",,,183、315、590、722,A - 右上角数字 6 绿条结尾、左上角数字 1 单点,A - 右下角数字 4 蓝条结尾、左下角数字 5 单点,411,877,1857574,32 - 0.5
K,7,"Kids in the Dark","All Time Low",,,382,B - 左上角数字 3 单点,B - 右上角数字 8 单点,205,424,1095782,28 - 0.1
,,"Girl in the Mirror","Bebe Rexha",,红色,133、133,B - 中间数字 2 单点（cool）、右边数字 3 单点,B - 右上角数字 8 单点、右上角数字 9 单点（cool）,130,257,757245,26 - 0.1
Y,6,"原点","徐梦圆",,,233、238、239、535、540、541,A - 右上角数字 1 单点,A - 右下角数字 5 单点,287,589,1095602,25 - 0.2
D,7,"豆你玩","李子璇",,红色,249、249、250、250、251、251、252、254、257、258,B - 中间数字 14 单点（cool）、右上角数字 15 单点,B - 左下角数字 2 蓝条结尾、右边数字 3 单点、左下角数字 4 单点（cool）,172,348,1151767,49 + 0.0
G,10,"冠世一战","言和",,,550、551、552,B - 左边数字 6 单点,B - 左边数字 6 蓝条结尾、右下角数字 7 单点,477,1162,3068216,46 - 0.5
,,"胡萝卜须","许嵩",,红色,229,B - 左上角数字 1 蓝条开始、右下角数字 1 蓝条开始,B - 右上角数字 16 绿条中间、左上角数字 16 绿条中间,228,510,1530618,49 + 0.0
,,"两人份美好","李俊毅",,红色,177、178、178、178、179、179,B - 左上角数字 2 单点,B - 左下角数字 6 单点、左下角数字 7 单点（cool）,109,244,733593,26 + 0.0
L,7,"旅行的爱情","Samuel",,红色,101,A - 右上角数字 1 单点,A - 左边数字 5 蓝条结尾,148,319,796627,23 - 0.1
M,8,"Magic Dream","APPRIL",,,172、310,A - 左下角数字 1 单点,A - 左上角数字 6 单点,205,379,1123826,29 + 0.0
C,10,"courage","戸松遥",,,108、109、110、111、431、432、433、434,A - 左上角数字 7 单点,A - 左上角数字 3 绿条结尾、右上角数字 4 单点,306,628,1595745,31 - 0.4
Y,6,"赝品","简弘亦",,红色,166,B - 左下角数字 1 蓝条开始,B - 左上角数字 9 绿条中间,165,326,925005,28 + 0.3
,,"滚烫的青春","王源",,红色,151,B - 左上角数字 8 绿条结尾、右上角数字 1 单点,B - 右下角数字 3 蓝条中间,118,257,764759,34 + 0.3
S,10,"Shiny","高颖浠",,,187、188、538、539,A - 右上角数字 1 单点,A - 左下角数字 2 单点,421,800,2382238,48 + 0.0
D,8,"DEAREST DROP","田所あずさ",,,107、108、433、434,A - 右上角数字 1 单点,A - 左下角数字 4 单点,309,598,1255405,27 - 0.5
,,"七つ紅葉灯","木制みゅーと",100,,333、334、335、336,A - 左上角数字 11 单点,A - 左下角数字 6 蓝条结尾、下面数字 7 单点,430,855,2526410,55 + 0.0
L,9,"Last One Standing","Simple Plan",,,269,B - 右下角数字 1 单点,B - 左下角数字 6 单点,212,546,1393802,31 + 0.0
B,6,"Bon Bon(给他一击)","强东玥",,,40,A - 右上角数字 3 单点,A - 右上角数字 1 蓝条结尾,158,302,797622,22 - 0.1
Z,8,"最苦的甜","胡夏",,红色,143、350,A - 左下角数字 3 单点,A - 右下角数字 8 绿条开始,191,398,1002762,27 + 0.2
D,8,"单线告别","接个吻，开一枪/刘至佳",,,358,B - 右上角数字 3 单点,B - 右边数字 8 绿条开始,198,388,1091443,26 + 0.2
,,"Time with you","圭贤",,红色,193,B - 左上角数字 10 单点,B - 右上角数字 6 蓝条结尾,125,232,673929,26 + 0.1
,,"Good Girl 赶快爱","陈芳语",,红色,123、124、124、301、302、302,A - 左下角数字 14 单点,A - 右边数字 6 单点、右边数字 7 单点（cool）,151,329,1028173,29 + 0.0
R,6,"如果当时","胡夏",,红色,276、276,B - 中间数字 5 单点（cool）、左边数字 6 蓝条开始,B - 左上角数字 7 单点、右上角数字 7 单点,183,392,969042,35 - 0.3
T,8,"淘气堡","Chic Chili",,,333,B - 右上角数字 2 单点,B - 右上角数字 10 单点,198,457,1231883,27 - 0.1
A,8,"爱情的花样","孙燕姿",,红色,108、108、161、161、327、327、380、380,A - 中间数字 5 单点（cool）、左下角数字 6 单点,A - 左下角数字 10 蓝条结尾、右上角数字 11 单点,210,429,1229764,35 + 0.0
,,"Shatter Me","Lindsey Stirling/Lzzy Hale",,,292、365、658,A - 左下角数字 1 蓝条开始、右上角数字 1 蓝条开始,A - 右上角数字 6 蓝条开始,439,731,2107854,49 + 0.0
,,"Let Me Hear","Fear, and Loathing in Las Vegas",,,901、903、908,B - 左上角数字 1 单点、右上角数字 1 单点,B - 左下角数字 3 单点,512,994,2933962,67 + 0.0
,,"狂风里拥抱","信/A-Lin",,红色,378,B - 上面数字 4 单点,B - 左上角数字 6 单点、右上角数字 6 单点,238,493,1368692,40 + 0.0
,,"青春大满贯","胡夏",,红色,205,B - 右上角数字 3 单点,B - 左边数字 15 单点,192,332,864708,25 + 0.0
W,6,"我的名字","焦迈奇",,,261,B - 左上角数字 5 单点,B - 左上角数字 12 绿条中间,197,356,894132,21 + 0.0
W,6,"When You Know What Love Is","Craig David",,红色,116、116、117、117、250、250、251、251,A - 中间数字 1 单点（cool）、左边数字 2 单点,A - 左下角数字 6 蓝条中间,154,288,878754,28 + 0.0
,,"爱在我身边","吴映洁",,红色,129、130、134、142,B - 中间数字 2 单点,B - 左下角数字 7 单点,80,175,469880,23 - 0.4
S,6,"Señorita","Shawn Mendes/Camila Cabello",,红色,193、193,B - 中间数字 9 单点（cool）、左上角数字 10 单点,B - 右边数字 2 单点、右边数字 3 单点（cool）,102,268,789092,30 - 0.5
,,"超大只怪兽","焦迈奇",,红色,53、54、65,A - 右下角数字 1 单点,A - 左下角数字 5 单点,95,175,542144,24 - 0.2
G,8,"孤注一掷的舞者","DOES",,,191、192、193,A - 右上角数字 1 单点,A - 左下角数字 6 单点,231,427,1273149,27 + 0.0
C,6,"彻底","庄心妍",,,108、331,A - 左下角数字 1 单点,A - 右下角数字 5 单点,213,436,1109792,24 + 0.0
W,8,"我的告白","王栎鑫/周文杰",20,,385、391,B - 右下角数字 9 单点,B - 下面数字 2 蓝条结尾、右上角数字 3 单点,303,526,1219554,31 - 0.3
W,9,"五等分の気持ち","花泽香菜/竹達彩奈/伊藤美来/佐倉綾音/水瀬いのり",,,429、430、431、434,B - 左上角数字 3 单点,B - 右下角数字 5 蓝条中间,242,502,1456831,38 + 0.0
S,7,"SHOW THE WORLD","林俊杰",,红色,144、145、145、184、185、185、211、212、212,A - 右上角数字 1 单点,A - 左下角数字 4 蓝条中间,180,329,957727,31 + 0.4
U,9,"UNION","OxT",,,114、410,A - 右下角数字 12 绿条结尾,A - 左下角数字 3 单点,303,599,1352610,27 + 0.3
R,9,"R.1.S.E","R1SE",,,191、448,A - 左边数字 7 蓝条开始,A - 上面数字 4 单点,287,586,1580516,30 + 0.0
C,8,"宠坏","李俊佑/小潘潘",,,127、169、302、344,A - 左下角数字 2 单点,A - 右上角数字 12 单点,209,384,1071152,25 + 0.4
,,"Carry on","Monsta X",,红色,230、231,B - 左下角数字 11 单点,B - 左边数字 9 单点,137,260,699994,24 + 0.1
,,"Dreams Come True","徐明浩",,红色,263,B - 左上角数字 4 单点,B - 右上角数字 8 蓝条结尾,176,358,1006590,31 + 0.0
I,8,"I am YOU","Stray Kids",,红色,124、291,A - 下面数字 8 绿条结尾、右上角数字 1 单点,A - 右上角数字 8 单点,249,442,1091938,29 + 0.3
,,"Sweet but Psycho","Ava Max",,,354、355,B - 右下角数字 4 单点,B - 左边数字 2 单点,202,467,1374530,32 - 0.3
,,"Badass Woman","Meghan Trainor",,红色,146、147,B - 左上角数字 3 单点,B - 左下角数字 6 蓝条结尾,141,293,787267,29 + 0.0
S,7,"SHOOT IT OUT","GENERATIONS from EXILE TRIBE/THE RAMPAGE from EXILE TRIBE",,,323、324、327、328,B - 右下角数字 4 蓝条开始,B - 右上角数字 6 蓝条中间,202,450,1262275,32 - 0.1
D,6,"Don't Need Your Love","NCT DREAM/HRVY",,红色,126、127、127、266、267、267,A - 左下角数字 5 单点,A - 右下角数字 9 单点、右下角数字 10 单点（cool）,162,319,868095,27 - 0.2
M,6,"盲眼画师","河图",,,220,B - 左下角数字 1 绿条开始、下面数字 1 绿条开始,B - 右上角数字 3 绿条中间,219,389,1001171,23 + 0.3
D,8,"地铁等待","张紫豪",,,170、171、361、362,A - 右上角数字 2 单点,A - 中间数字 6 蓝条中间,224,415,1055002,25 - 0.5
,,"春、恋桜。","majiko",,红色,163、164,B - 左边数字 2 单点,B - 左上角数字 8 单点,121,259,623796,22 - 0.2
R,10,"Remember","FTISLAND",,,238、557,A - 右下角数字 2 蓝条结尾、左下角数字 3 绿条开始,A - 左下角数字 10 蓝条结尾、右下角数字 11 绿条开始,406,742,1612779,32 - 0.2
B,6,"Brand New Story","GENERATIONS from EXILE TRIBE",,红色,209,B - 左下角数字 10 绿条中间,B - 左下角数字 4 蓝条结尾,144,336,913444,27 - 0.5
,,"I like you(炫舞音乐季主题曲)","孟美岐",,,465,B - 右边数字 6 蓝条开始、中间数字 6 蓝条开始,B - 右上角数字 7 蓝条结尾、下面数字 8 单点,250,509,1542309,39 + 0.0
Z,6,"最好的天气","郭采洁",,红色,185,B - 右下角数字 4 绿条结尾,B - 右上角数字 5 蓝条结尾,134,328,951399,29 + 0.2
,,"Lil Mama","Jain",,红色,218,B - 右上角数字 8 蓝条中间,B - 右上角数字 10 蓝条中间,127,244,719881,27 + 0.0
,,"两小无猜","小木",,红色,187、187,B - 中间数字 6 单点（cool）、右下角数字 7 单点,B - 右上角数字 3 单点、右上角数字 4 单点（cool）,168,381,1066474,36 + 0.0
,,"灿烂之夏","王子异",,红色,177、178、179、180,B - 左下角数字 11 单点,B - 右边数字 5 单点,111,217,565902,23 - 0.5
,,"Come Back Down","Mediks",,,348、349、350,A - 右上角数字 4 单点,A - 左下角数字 10 单点,390,760,2112389,37 - 0.2
,,"Leaving California","Maroon 5",,红色,260,B - 右下角数字 8 蓝条开始,B - 右边数字 6 单点,163,339,884862,29 - 0.2
,,"我的朋友","TFBOYS",,,170、171、172、174、442、443、444、446,A - 上面数字 8 单点,A - 左边数字 10 蓝条结尾、右上角数字 1 单点,281,582,1759441,46 + 0.0
M,8,"MARIA","黄明昊/KOHH",,红色,186、190,A - 右上角数字 13 绿条结尾,A - 右上角数字 4 蓝条结尾,241,445,947386,26 + 0.0
,,"藏不住的心跳","朱主爱",,红色,214、215,B - 左上角数字 1 单点,B - 右下角数字 4 蓝条结尾,131,257,771370,27 - 0.1
G,6,"Getaway","Syn Cole",,,206,B - 左上角数字 1 绿条结尾,B - 右下角数字 6 单点,164,410,1086016,28 + 0.2
X,6,"新青年","李行亮",,红色,172、173,B - 左下角数字 7 单点,B - 右边数字 10 单点,145,286,783753,24 + 0.1
D,9,"当妮走了","徐真真",,,73,A - 左上角数字 9 单点,A - 左边数字 5 蓝条结尾、右上角数字 6 绿条开始,240,480,1203354,29 - 0.3
