字母,等级,歌名,歌手,突变,技能,单排爆点,开头描述,结尾描述,半cb,全cb,分数,单指数
,,"Doraradora","Fujigami Mai",,,544,B - 一轨单点、四轨长条结尾,B - 二轨长条结尾、三轨单点,300,634,1304940,34 + 0.3
S,10,"Stand By Me","the peggies",,,1018,B - 一轨单点、三轨单点,B - 三轨单点,836,1530,2805601,44 + 0.0
,,"HERO","李子璇",,红色,99,A - 三轨长条开始,A - 四轨单点,269,514,1114001,40 - 0.2
,,"淋雨一直走","张韶涵",,红色,181,B - 四轨单点,B - 三轨单点、二轨单点（cool）,126,248,702451,33 - 0.4
,,"Getaway","Syn Cole",,,497、498、499,B - 三轨单点,B - 一轨单点,253,625,1117405,27 - 0.1
,,"Pure","向井太一",,红色,242、242,B - 四轨单点（cool）、三轨单点,B - 二轨单点、三轨单点（cool）,162,334,775376,30 - 0.2
,,"一舞钟情","A-Lin",,红色,470、470,B - 二轨单点（cool）、三轨长条开始,B - 一轨单点、二轨长条右滑,269,595,1113829,35 + 0.2
R,10,"Remember","FTISLAND",,,802,A - 二一轨滑键、三轨长条右滑,A - 一轨长条结尾、二轨长条结尾,947,1772,2907026,44 + 0.0
N,9,"你，有没有过","林俊杰",100,,835,B - 一轨单点、四轨单点,B - 四轨长条结尾,465,1127,2196617,51 + 0.3
F,10,"Flower Dance(困难版)","DJ OKAWARI",,,406,B - 三轨长条左滑,B - 一轨单点,238,649,1910829,43 - 0.1
M,8,"马上上马","庄园",,,695,B - 二轨单点,B - 一轨长条结尾、四轨长条结尾,459,834,1754280,42 - 0.2
,,"期待","Girl's Day",,红色,126、365,A - 四轨长条开始,A - 一轨单点,239,535,1177972,40 - 0.2
,,"Long Kiss Good Bye","Halcali",,,540,B - 二轨长条结尾、三轨单点,B - 三轨单点,401,862,1371739,33 + 0.4
C,9,"CLEAR","坂本真綾",50,,722,B - 一轨长条开始,B - 二轨长条结尾、四轨长条结尾,436,954,2069797,44 - 0.4
G,8,"灌溉爱","郭采洁",,红色,149、531,A - 四轨长条中间,A - 二轨长条右滑、四轨长条开始,408,790,1502771,47 - 0.4
F,9,"Faded(困难版)","Alan Walker",,,788、789、790,B - 二轨单点,B - 一轨长条右滑、四轨长条左滑,488,893,2164139,44 + 0.2
Z,10,"钻石微笑","Run Girls, Run！",,,343,A - 一二轨滑条、三轨单点,A - 一轨长条中间,712,1440,2794692,51 + 0.1
B,6,"别爱太满别睡太晚","贺一航",,,227、577,A - 四轨单点,A - 三轨长条右滑,299,649,1136781,30 - 0.4
X,8,"幸福症候群","nanawoakari",,,105、106、107、108、109,A - 三轨单点,A - 二轨单点,351,817,1654079,39 + 0.0
,,"耿耿于怀","王笑文",,,316、675,A - 四轨长条开始,A - 三轨单点,400,837,1364898,31 - 0.1
,,"回忆那么伤","孙子涵",,红色,403,B - 一轨单点、四轨长条中间,B - 一轨单点,162,488,1087277,36 - 0.1
,,"狂风里拥抱","信/A-Lin",,红色,699,B - 一轨单点、三轨单点,B - 一轨长条中间、四轨长条中间,435,944,1729042,54 + 0.4
X,8,"響喜乱舞","GARNiDELiA",,,600,B - 一轨单点、三轨单点,B - 二轨单点、三轨单点,437,843,1937030,39 + 0.0
,,"下个，路口，见","李宇春",,红色,381、383,B - 二轨单点、四轨单点,B - 二轨单点、四轨单点,226,455,777733,31 + 0.3
,,"魂不守舍","朱星杰",,红色,172、177、333、338,A - 一轨长条右滑,A - 二轨长条左滑,260,555,1076546,33 + 0.0
X,6,"小情歌","苏打绿",,红色,377,B - 三四轨滑条,B - 三轨长条中间,272,721,1325487,39 - 0.3
,,"歌谣","李荣浩",,红色,500、501,B - 二轨单点,B - 一轨单点、三轨长条结尾,278,638,1391846,37 + 0.0
R,8,"Radiant","TANGRAM",,,208、209、210、758、759、760,A - 四轨单点,A - 一轨长条结尾、三轨长条右滑,560,1151,2025761,47 - 0.4
Q,7,"群居动物","胡66",,红色,234、665,A - 三轨单点,A - 一轨长条中间,386,753,1572676,42 + 0.1
L,7,"旅行的爱情","Samuel",100,红色,617,B - 二轨长条中间、三轨长条开始,B - 一轨单点、二轨长条右滑,427,993,1720052,51 + 0.4
,,"赝品","简弘亦",,红色,75,A - 四轨单点,A - 三轨单点,260,524,1028182,31 + 0.1
W,9,"Why So Lonely","Wonder Girls",,,1450,B - 二一轨滑条、三轨长条右滑,B - 二轨长条中间、三轨长条中间,723,1619,2808235,54 - 0.2
D,6,"带我走","杨丞琳",,,626,B - 一轨长条中间、四轨长条开始,B - 一轨长条中间、三轨单点,416,860,1391577,37 - 0.5
,,"滚烫的青春","王源",,红色,50,A - 一轨单点,A - 一轨长条中间,246,474,796925,32 + 0.0
,,"鍵ノ間","黒兎ウル",,,895、896、897、898、899、900、913、914、915、916,B - 四轨单点,B - 一轨单点,451,969,2215057,48 + 0.0
D,9,"DEAREST DROP","田所あずさ",,,242,A - 一轨长条开始、四轨长条中间,A - 一轨长条结尾、四轨长条结尾,636,1222,2198264,51 - 0.3
L,8,"凉凉(困难版)","杨宗纬/张碧晨",,,807、812、817,B - 一轨长条中间、四轨单点,B - 二一轨滑键、四轨长条中间,736,1482,2566843,50 + 0.2
L,9,"恋のパーフェクト微分方程式","ユウノウミ",,,723、724,B - 一轨单点,B - 三轨长条右滑,531,1019,2197909,43 + 0.2
,,"青春大满贯","胡夏",,红色,303、657,A - 一轨单点,A - 三轨长条右滑,427,733,1226230,33 + 0.0
B,7,"白衣少年","许诗茵",,,634,B - 二一轨滑条,B - 二一轨滑键、三四轨滑键,487,1091,1895696,42 + 0.0
,,"爱在我身边","吴映洁",,红色,204,B - 四轨单点,B - 三轨单点,134,305,640717,28 + 0.3
S,7,"什么什么","蔡依林",,,100、375,A - 一轨长条右滑,A - 二轨单点,308,751,1564183,40 - 0.1
,,"Good Girl 赶快爱","陈芳语",,,170、503,A - 一轨单点、四轨单点,A - 四轨单点,289,622,1251183,32 - 0.5
,,"Pink Magic","艺声",,红色,27,A - 四轨长条左滑,A - 四轨单点,314,618,1140410,33 + 0.0
R,9,"Rolling Star","YUI",,红色,1164,B - 三轨长条左滑,B - 一轨长条右滑、三轨长条右滑,585,1278,1984784,55 - 0.5
N,6,"那时正好","赵政豪",,红色,804,B - 一轨长条开始、四轨长条开始,B - 一轨长条中间、四轨长条左滑,323,965,1562108,47 + 0.1
S,6,"是我","张韶涵",,红色,684,B - 三轨单点,B - 一轨单点,484,1027,1557273,44 - 0.5
F,10,"Fanfare","Sumika",,,217、1108,A - 三轨长条右滑,A - 二轨单点、三轨单点,986,2055,3224400,46 - 0.1
W,10,"Wake up!","AAA",,,224,A - 二轨长条开始、四轨长条开始,A - 二一轨滑键、四轨长条中间,451,1156,2540830,59 + 0.4
N,7,"牛奶面包","杨紫/鱿小鱼",,红色,390,B - 一轨长条右滑,B - 一轨单点,287,500,1191874,37 - 0.5
G,10,"冠世一战","言和",20,,1078,B - 三轨单点,B - 二轨长条开始,779,1921,3508853,51 + 0.2
B,10,"Bright Burning Shout","T.M.Revolution",,,1445,B - 一轨长条开始、三轨单点,B - 一轨长条右滑、三轨长条右滑,921,1826,3109151,49 + 0.0
,,"再见安打","唐禹哲",,红色,66,A - 一轨单点,A - 一轨单点、四轨单点,107,321,664416,25 - 0.1
,,"Sweet but Psycho","Ava Max",,,291,A - 三轨长条结尾,A - 四轨单点,353,784,1545264,31 + 0.4
Q,10,"琪露诺的完美算术教室","IOSYS",,,816、817、818、819、820、821、822、823、850,B - 二轨单点,B - 三轨单点,797,1562,3590611,69 + 0.3
,,"Shatter Me","Lindsey Stirling/Lzzy Hale",,,993,B - 一轨单点,B - 三四轨滑条,821,1329,2930931,77 + 0.1
,,"Loved","Highlight",,红色,198、440,A - 四轨单点,A - 三轨长条右滑,283,546,1003918,28 - 0.5
Q,9,"青鸟","生物股长",,,959,B - 二一轨滑条、三四轨滑键,B - 一轨长条中间、四三轨滑键,576,1268,2653429,57 + 0.4
,,"Flower Dance","DJ OKAWARI",,红色,204,B - 二轨长条开始,B - 二轨单点、三轨单点,128,278,548934,23 + 0.0
A,8,"Angel With A Shotgun","Nightcore",,,179、455,A - 四轨单点,A - 三四轨滑键,365,839,1523903,40 - 0.1
C,10,"Candy Boy","TWICE",,,910,B - 二轨单点、四轨长条开始,B - 二轨长条左滑、三轨长条右滑,401,1129,2273414,50 - 0.3
,,"Monsters","Katie Sky",,红色,104、110、111、225、231、232,A - 四轨单点,A - 三轨单点,180,369,701761,25 - 0.5
H,6,"好奇的猫","胡66",,红色,166、166、473、473,A - 三轨单点（cool）、二轨单点,A - 四三轨滑键,325,632,1188536,34 + 0.4
F,9,"浮年盏","刘珂矣",20,,923,B - 一轨长条右滑、四轨长条开始,B - 一二轨滑条、四轨长条左滑,548,1270,2260782,51 - 0.4
,,"唱起这首歌","刘人语",,红色,396,B - 三轨单点,B - 四轨长条中间,356,691,1306969,35 + 0.2
,,"Dreams Come True","徐明浩",,,99、100、103、104,A - 四轨长条开始,A - 三轨长条右滑,310,631,1177428,29 + 0.2
,,"七つ紅葉灯","木制みゅーと",,,511,A - 二一轨滑键、四三轨滑条,A - 二轨长条开始、三轨单点,744,1563,3724009,69 - 0.5
K,6,"Kids in the Dark","All Time Low",,,224、560,A - 四轨长条中间,A - 一轨单点,358,746,1328862,32 + 0.2
B,6,"Bon Bon(给他一击)","强东玥",,红色,548、553,B - 一轨长条右滑,B - 三轨长条右滑,374,697,1277000,35 + 0.2
,,"Victory(困难版)","Bond",50,,1279,B - 二轨单点,B - 二轨长条左滑、五轨长条中间,882,1671,3651573,91 + 0.3
W,8,"我的告白","王栎鑫/周文杰",,,773、778,B - 三轨长条右滑,B - 四轨长条左滑,614,1063,1875235,48 + 0.2
D,7,"豆你玩","李子璇",,红色,301、301、302、302、303、304、304、305、305、306,B - 四轨单点（cool）、四轨单点,B - 二一轨滑键、四轨单点（cool）,276,454,1178755,43 + 0.0
K,6,"KNOCK KNOCK","TWICE",,红色,235,B - 二轨长条开始,B - 三轨长条左滑,143,444,1090955,32 + 0.4
I,7,"I'm OK","小青龙",,,191、528,A - 三轨长条右滑,A - 四轨单点,254,651,1433085,37 + 0.3
,,"春、恋桜。","majiko",,红色,248,B - 三轨长条右滑,B - 三轨单点,177,376,732161,23 + 0.3
B,6,"白骑士","QQ炫舞原创",,红色,120,A - 一轨长条中间,A - 三二轨滑键,348,655,1215998,35 + 0.4
E,8,"E.T.","Katy Perry",,,704,B - 一轨单点、四轨长条开始,B - 二轨长条中间,343,815,1532205,36 + 0.1
D,10,"Dura","Daddy Yankee",100,,784,B - 二轨单点、四轨长条左滑,B - 一轨长条右滑、四轨单点,489,1217,3096869,49 - 0.2
L,9,"Last One Standing","Simple Plan",,,301、820,A - 一轨长条开始、四轨长条中间,A - 二轨长条结尾、四轨长条结尾,494,1332,2299398,55 + 0.3
T,8,"淘气堡","Chic Chili",,,280、826、1333,A - 二轨长条开始,A - 一轨长条右滑,623,1473,2328999,46 - 0.2
,,"Time with you","圭贤",,红色,149,A - 三轨单点,A - 一轨长条中间,244,448,766251,28 - 0.1
,,"Light up","刘人语",,,1121,B - 一二轨滑条、四轨单点,B - 二轨长条中间,690,1344,2637327,50 + 0.1
,,"123我爱你(困难版)","新乐尘符",50,,670、673、676,B - 一轨单点、四轨长条中间,B - 一轨长条右滑、五轨长条中间,594,1178,2371236,51 - 0.5
C,10,"courage","戸松遥",,,253、871,A - 一轨单点、二四轨滑条,A - 二轨单点、四轨长条左滑,587,1222,2244728,47 + 0.4
S,6,"SHOW THE WORLD","林俊杰",,红色,90,A - 二轨长条中间,A - 三轨单点,343,630,1028628,30 - 0.5
,,"两人份美好","李俊毅",,红色,284,B - 三轨长条开始,B - 四轨单点,214,471,964020,31 + 0.0
L,8,"Light","San Holo",100,,202,A - 四轨单点,A - 一轨长条开始,376,764,1601110,37 - 0.1
S,7,"SHOOT IT OUT","GENERATIONS from EXILE TRIBE/THE RAMPAGE from EXILE TRIBE",,,415,B - 四轨长条中间,B - 四轨单点,330,779,1445270,37 + 0.4
S,6,"Synchronise","INFINITE",,红色,781,B - 二轨单点、四轨单点,B - 二轨长条左滑,423,901,1333876,41 - 0.4
L,9,"啰哩叭唆","陈嘉桦",,,481、482,B - 四轨单点,B - 三轨单点,355,729,1700245,35 - 0.1
C,7,"宠坏","李俊佑/小潘潘",,,232、310、560、638,A - 二轨单点,A - 二轨长条左滑,386,714,1459503,33 + 0.0
W,6,"我的名字","焦迈奇",,,203、204、205、206、508、509、510、511,A - 二轨单点,A - 三轨单点,344,657,1279601,32 - 0.1
M,7,"Magic Dream","APPRIL",,红色,114,A - 二轨单点,A - 二轨长条结尾,456,785,1546104,41 + 0.0
,,"Leaving California","Maroon 5",,红色,207、594,A - 四轨单点,A - 一轨长条中间,361,747,1163197,36 - 0.3
D,7,"地铁等待","张紫豪",,,745,B - 一轨单点、四轨单点,B - 四轨长条中间,479,899,1482974,36 + 0.2
M,8,"觅","王喆",,,436,B - 二轨长条左滑,B - 三四轨滑键,421,938,2004332,46 - 0.5
,,"我们很好","林俊杰",,红色,184,A - 一轨单点,A - 三轨长条右滑,246,468,790554,28 - 0.3
,,"灿烂之夏","王子异",,红色,128、318,A - 一轨单点、四轨单点,A - 三轨单点、四轨单点（cool）,199,389,825589,36 - 0.4
Y,6,"原点","徐梦圆",,,1128,B - 三轨长条开始,B - 四轨单点,606,1244,1759016,39 + 0.1
,,"没有你的冬季","阿云嘎",,红色,575,B - 一轨单点、三四轨滑条,B - 一轨单点、三轨单点,399,756,1437725,39 + 0.1
,,"Ring of Fortune","佐々木恵梨",,,435、1003,A - 一二轨滑键、四轨单点,A - 三轨长条左滑,563,1127,2067000,39 + 0.4
W,10,"五等分の気持ち","花泽香菜/竹達彩奈/伊藤美来/佐倉綾音/水瀬いのり",,,852、856,B - 二轨长条中间、三轨长条中间,B - 二轨长条中间、四轨长条左滑,660,1296,2544000,55 + 0.1
B,6,"Break The Rules","Charli XCX",,红色,372,B - 二轨长条中间,B - 三轨单点,250,541,1216346,36 + 0.4
R,6,"仁心所向","河图",,,265、685,A - 二轨长条左滑,A - 一轨单点,534,954,1451699,35 + 0.0
,,"流光记","银临",,红色,209、210、210,A - 二轨单点,A - 三轨单点、二轨单点（cool）,303,570,1131742,33 - 0.1
C,6,"彻底","庄心妍",,,260、743,A - 一轨单点,A - 二轨长条结尾、四轨长条结尾,475,959,1541263,31 - 0.5
A,8,"爱情的花样","孙燕姿",,红色,629,B - 二一轨滑条,B - 四轨单点,351,728,1594639,46 - 0.1
R,6,"如果当时","胡夏",,红色,487、487,B - 四轨单点（cool）、二轨单点,B - 三轨长条右滑、二轨单点（cool）,306,632,1172327,41 - 0.1
W,7,"我要飞","飞儿乐团",,,91,A - 四轨单点,A - 四轨单点,327,670,1255631,33 - 0.5
M,9,"MARIA","黄明昊/KOHH",,红色,175、175、732、732,A - 二轨单点（cool）、三轨单点,A - 一轨长条右滑、四轨长条左滑,520,1070,1863783,55 + 0.2
M,10,"MY舞☆TONIGHT","Aqours",,,333,A - 一轨长条右滑、三轨长条开始,A - 二轨单点、三轨单点,811,1587,3181461,60 + 0.2
,,"Snapping","金请夏",,红色,110,A - 一轨长条结尾、四轨单点,A - 四轨单点、二轨单点（cool）,218,479,994115,34 - 0.3
,,"两小无猜","小木",,红色,511,B - 三轨长条中间,B - 二轨单点,261,597,1158709,33 - 0.5
,,"I like you(炫舞音乐季主题曲)","孟美岐",,,724,B - 三轨单点、四轨长条中间,B - 一轨长条右滑、三四轨滑键,426,863,1747248,45 - 0.2
,,"我们是太阳","筷子兄弟",,红色,174、273、507、606,A - 三轨长条右滑,A - 一轨单点、一轨单点（cool）,349,708,1076686,30 + 0.2
,,"Señorita","Shawn Mendes/Camila Cabello",,红色,263,B - 一轨长条开始,B - 二轨单点,191,513,952023,31 - 0.1
,,"Brand New Story","GENERATIONS from EXILE TRIBE",,红色,348,B - 三轨长条结尾,B - 四轨单点、一轨单点（cool）,255,603,1052267,31 + 0.0
,,"Loki","BC221",,红色,280,B - 二轨长条开始,B - 二轨长条结尾,231,463,950970,27 + 0.0
,,"Don't Need Your Love","NCT DREAM/HRVY",,红色,312、312,B - 四轨单点（cool）、四轨单点,B - 二轨长条左滑,273,549,1041645,31 - 0.4
,,"カーストルーム","ZAQ",,,412,B - 一轨单点,B - 三轨长条结尾、四轨长条结尾,381,915,1698600,37 - 0.3
X,6,"虚拟","陈粒",,红色,266、266,A - 二轨单点（cool）、一轨单点,A - 三轨长条右滑,372,673,1301570,40 + 0.0
,,"Too Much","Carly Rae Jepsen",,红色,295、296、296,B - 三轨单点,B - 二轨单点、四轨单点（cool）,165,355,681383,32 - 0.5
B,6,"Birthday","罗志祥",,,285、509、579,A - 一轨单点、三轨单点,A - 四轨长条中间,395,637,1231364,30 - 0.2
S,6,"Sunny Side Up!","Red Velvet",,红色,457、462,B - 三轨长条右滑,B - 一轨长条右滑,349,693,1165739,35 - 0.1
,,"Carry on","Monsta X",,红色,392,B - 四轨单点,B - 一二轨滑键,233,458,878586,30 - 0.1
G,9,"孤注一掷的舞者","DOES",,,765,B - 三轨长条右滑,B - 一轨长条中间、四轨长条中间,573,1120,2029056,45 - 0.2
,,"Lil Mama","Jain",,红色,264、264,B - 三轨单点（cool）、三轨长条开始,B - 四轨长条左滑,212,424,876859,32 + 0.4
X,6,"新青年","李行亮",,红色,485,B - 一轨单点、四轨单点,B - 四轨单点、三轨单点（cool）,307,601,1065573,32 + 0.3
,,"漫过","吴映香",,红色,503,B - 一轨长条右滑,B - 四轨单点,285,596,1027086,31 + 0.4
Z,9,"仲夏","王北车",100,,1352,B - 二一轨滑条、四轨单点,B - 一二轨滑键、三轨长条右滑,657,1524,2758900,53 + 0.2
G,6,"孤身","徐秉龙",,红色,189、190、211,A - 二轨单点,A - 一轨单点,283,564,939130,29 + 0.3
,,"Talking to Myself","Linkin Park",,,299、613,A - 四轨单点,A - 一轨长条中间,525,884,1419436,35 - 0.3
,,"Ever After","Alice",,,821,B - 二轨单点,B - 三轨长条左滑,456,901,1373792,35 + 0.2
,,"观花","萌娜丽莎/郑冰冰",,红色,114,A - 二轨单点,A - 三轨长条右滑,268,554,1044938,34 - 0.4
,,"I Still Do","Why Don't We",,红色,8,A - 一轨长条结尾,A - 四轨长条中间,260,473,835378,29 + 0.4
,,"傻了吧","大张伟",,,556,B - 四轨长条左滑,B - 二轨单点,522,1191,2536097,45 + 0.3
,,"Baby Don't Cry","于湉",,红色,156、367,A - 三轨长条开始,A - 三轨单点,223,434,968563,31 - 0.3
,,"Badass Woman","Meghan Trainor",,红色,399,B - 三轨长条右滑,B - 二轨长条结尾、四轨单点（cool）,224,479,793925,27 + 0.2
,,"长安巷","排骨教主",,红色,344,B - 一轨单点,B - 一轨单点,189,419,848679,34 - 0.3
,,"林中鸟(困难版)","葛林",,,1663、1668、1672,B - 二轨长条左滑,B - 四轨长条左滑,732,1818,3187013,55 + 0.0
,,"永世のクレイドル","鈴華ゆう子",,红色,157、641,A - 四轨长条左滑,A - 四轨单点、四轨单点（cool）,458,932,1543018,43 + 0.3
Q,7,"倾杯","SING女团",,,652,B - 二轨单点、三轨单点,B - 一轨单点,384,723,1326548,34 + 0.2
,,"无名之辈","陈雪燃",,红色,272,B - 三四轨滑键,B - 三轨单点,147,340,789028,34 - 0.3
,,"Leave Out All The Rest","Linkin Park",,,978,B - 一轨长条中间、三轨单点,B - 二轨长条左滑、三轨长条开始,643,1375,2069786,46 + 0.1
D,9,"单线告别","接个吻，开一枪/刘至佳",,,369、750,A - 一轨长条右滑、四轨单点,A - 二轨单点、四轨单点,458,898,1795697,40 + 0.3
,,"Whistle(困难版)","Flo Rida",,,1051,B - 一二轨滑条、四五轨滑条,B - 一轨长条中间、四轨长条中间,572,1433,2503702,46 + 0.2
,,"德寿宫石墙路的春天","允儿/10cm",,红色,104、279,A - 一轨长条结尾,A - 四轨单点、一轨单点（cool）,207,381,805442,30 - 0.2
,,"有你我就不孤单","罗志祥/恺乐/C.T.O",,,696,B - 三轨单点,B - 二轨长条中间,379,839,1638305,37 + 0.0
W,6,"我只喜欢你","胡夏",,,543,B - 四轨长条左滑,B - 二轨单点,286,776,1443678,34 + 0.2
,,"好喜欢你","颜人中",,红色,323、324、324、332,B - 二轨单点,B - 二轨单点、三轨单点（cool）,164,388,848288,34 + 0.0
*,9,"デートアライブ","sweet ARMS",,,137、637,A - 一轨长条开始、三轨长条开始,A - 三轨单点,565,1062,1971729,37 + 0.0
C,7,"Close To Me","Ellie Goulding/Diplo/Red Velvet",,,648,B - 四轨单点,B - 一轨单点,427,935,1512723,39 - 0.2
R,10,"R.1.S.E","R1SE",,,333、445、447、975、1087、1089,A - 二一轨滑键、三四轨滑条,A - 二一轨滑条,708,1488,2748317,48 + 0.3
Z,6,"着陆","白举纲",,红色,114、399,A - 二轨长条中间,A - 三轨单点,289,713,1292069,38 + 0.1
,,"Girl in the Mirror","Bebe Rexha",,红色,509,B - 二轨长条结尾,B - 四轨长条左滑,282,574,1027815,32 - 0.2
,,"我的朋友","TFBOYS",,,170、232、294,A - 四轨长条左滑,A - 一轨单点、四轨长条结尾,512,1022,2063073,44 - 0.4
U,10,"UNION","OxT",,,727,B - 一轨长条右滑、三四轨滑条,B - 三轨单点,590,1217,2356596,46 - 0.5
W,6,"我很快乐","刘惜君",,红色,239,B - 四轨单点,B - 一轨长条右滑,235,497,1064410,30 + 0.0
Z,7,"最苦的甜","胡夏",,,632、634,B - 三轨长条中间,B - 二轨长条左滑,333,711,1238722,32 + 0.4
,,"All Mine","f(x)",,红色,387,B - 一轨单点,B - 一二轨滑键,346,653,1012104,27 - 0.3
D,9,"当妮走了","徐真真",,,632,B - 一轨单点,B - 一轨长条结尾、三轨长条结尾,471,965,2002460,42 - 0.1
,,"最好的天气","郭采洁",,红色,417、419,B - 四轨单点,B - 四轨单点,193,486,964731,27 + 0.2
,,"Come Back Down","Mediks",,,559,A - 一轨单点、三轨单点,A - 一轨单点,720,1435,2823952,44 - 0.5
W,6,"When You Know What Love Is","Craig David",,红色,205、513,A - 二轨单点,A - 二一轨滑键,354,662,1113333,33 - 0.4
S,10,"Shiny","高颖浠",,,826,B - 二轨单点、三轨长条右滑,B - 二一轨滑键、四三轨滑键,662,1301,2841125,54 - 0.3
,,"藏不住的心跳","朱主爱",,红色,349,B - 一轨长条开始、四轨长条开始,B - 二轨单点,239,471,914803,32 - 0.5
,,"超大只怪兽","焦迈奇",,红色,120,A - 一轨单点、四轨单点,A - 二轨单点,173,336,698176,28 + 0.0
,,"アリエラ","佐香智久/天月-あまつき-",,红色,107,A - 二轨长条中间,A - 一轨单点、三轨单点（cool）,315,696,1618720,45 - 0.1
,,"Summer Time","倖田來未",,,214,A - 一轨长条右滑,A - 二轨长条左滑、三轨长条结尾,485,949,1835349,42 - 0.2
,,"HIT","SEVENTEEN",,,190、492,A - 四轨长条左滑,A - 四轨长条左滑,348,696,1305130,31 - 0.5
F,7,"Focus","TANGRAM",,,158、347、579,A - 四轨单点,A - 二轨单点、三轨单点,277,660,1456088,32 + 0.0
,,"DAYS of DASH","鈴木このみ",,,304、931,A - 一轨长条开始,A - 二一轨滑键、四三轨滑键,612,1244,1977867,41 - 0.2
,,"盲眼画师","河图",,红色,406、407、408、842、843、844,A - 二轨单点,A - 二轨单点,537,973,1575099,45 + 0.1
,,"BEE","Rothy",,红色,293,B - 一轨长条开始、四轨单点,B - 一二轨滑键,218,414,803615,29 - 0.1
,,"One In A Billion","Wake Up, May'n!",,,417,A - 一轨单点、三轨长条右滑,A - 二轨长条结尾、四轨长条结尾,627,1292,2330731,43 - 0.1
A,8,"A型のうた","西野カナ",,,415,B - 四轨单点,B - 二轨长条左滑,344,704,1598487,38 + 0.1
,,"树洞","欧阳娜娜",,,828,B - 二轨长条左滑、四轨单点,B - 三轨长条中间、四轨长条中间,566,985,1642899,38 + 0.2
A,9,"Another(Feat. 王嘉尔)","秦奋",,,608、610、1356、1358,A - 四轨长条中间,A - 一轨长条开始、四轨单点,754,1573,2721628,54 + 0.3
I,6,"I Want You to Know","Zedd/Selena Gomez",,,669,B - 一轨长条中间,B - 四轨单点,445,907,1518723,34 - 0.1
,,"光耀","梁心颐",,红色,237、540,A - 二轨单点,A - 三轨长条右滑,327,630,1135639,33 - 0.5
,,"世界は恋に落ちている","CHiCO with HoneyWorks",,,51,A - 四轨长条开始,A - 四轨单点,346,720,1470861,34 + 0.3
,,"别再靠近我了","陈雪凝",,红色,699,B - 二轨长条中间、四轨单点,B - 二轨长条左滑、四轨长条中间,409,887,1570222,52 + 0.1
