字母,等级,歌名,歌手,突变,技能,单排爆点,开头描述,结尾描述,半cb,全cb,分数,单指数
S,6,"是我","张韶涵",,,527,B - 左边单点,B - 左边长条中间、右边长条中间,374,785,1293528,33 + 0.4
,,"今天你要嫁给我","陶喆/蔡依林",,红色,157、158,B - 左边单点,B - 右边白球,139,274,716612,31 + 0.0
C,7,"Close To Me","Ellie Goulding/Diplo/Red Velvet",,,347,B - 左边白球,B - 右边白球,310,699,1292148,31 + 0.2
,,"Let Me Hear","Fear, and Loathing in Las Vegas",,,1126,B - 左边连点第 1 个,B - 左边连点第 3 个,608,1226,3470398,69 + 0.0
,,"灿烂之夏","王子异",,红色,123、296,A - 左边滑键、右边单点,A - 左边连点第 1 个、左边连点第 2 个（cool）,182,355,879475,37 + 0.1
,,"Blue Skies","Lenka",,红色,128、128,A - 左边单点（cool）、右边长条开始,A - 左边单点、右边单点,184,497,1095204,33 + 0.1
L,8,"Light","San Holo",,,144、471,A - 左边白球,A - 左边白球,310,641,1646135,38 + 0.0
H,6,"Here With You","Asher Book",100,红色,412,B - 左边长条结尾、右边长条开始,B - 右边白球,209,514,1193192,32 - 0.2
F,10,"Flower Dance(困难版)","DJ OKAWARI",,,409,B - 左边单点、右边单点,B - 左边单点、右边单点,259,647,1883954,42 + 0.0
Z,10,"直到世界终结(困难版)","WANDS",,,889,B - 右边单点,B - 左边单点、右边长条结尾,454,1054,2197161,43 - 0.1
R,9,"Rookie","Red Velvet",,,535,B - 左边长条结尾,B - 左边连点第 1 个,240,608,1667380,36 + 0.3
,,"Baby Don't Cry","于湉",,红色,331,B - 左边长条开始,B - 左边白球,202,396,1036881,34 + 0.1
,,"无限大","孙燕姿",20,红色,263、263、268、268,A - 左边连点第 2 个（cool）、右边单点,A - 右边白球,303,425,1083033,32 + 0.0
,,"Girl in the Mirror","Bebe Rexha",,红色,110、348、386、387,A - 左边单点,A - 右边单点,223,425,1018573,31 - 0.5
S,9,"Stand By Me","the peggies",,,675,B - 右边滑键,B - 左边白球,670,1270,2684902,43 + 0.0
,,"Summer Time","倖田來未",,,344、736,A - 左边长条开始、右边单点,A - 右边白球,409,850,1848524,40 - 0.5
,,"Poker Face","Lady Gaga",,红色,108、202、222,A - 左边白球,A - 左边单点、右边单点,142,292,1027052,30 + 0.0
,,"你的微笑","飞儿乐团",,红色,476、476,B - 右边连点第 1 个（cool）、右边连点第 2 个,B - 右边白球,327,625,1248338,41 - 0.5
,,"你的声音不会消失","fumika",,红色,225,B - 右边白球,B - 右边单点、左边单点（cool）,173,399,1201175,34 + 0.0
W,7,"我要飞","飞儿乐团",,,227、559,A - 左边单点,A - 右边滑键,328,715,1344257,35 + 0.1
I,8,"I am YOU","Stray Kids",,,196、454,A - 右边长条中间,A - 左边单点,390,684,1493996,36 + 0.3
Z,7,"最苦的甜","胡夏",,,128、419,A - 右边单点,A - 左边白球,261,556,1171123,29 + 0.2
O,7,"偶像万万岁","TimeZ",,,279、447,B - 左边连点第 1 个,B - 左边滑键,258,542,1436476,35 + 0.0
J,7,"就是你","范玮琪",,红色,398,B - 右边连点第 1 个,B - 左边单点,363,800,1344909,36 + 0.0
E,8,"E.T.","Katy Perry",,,249、582,A - 左边白球,A - 右边白球,333,729,1491263,35 - 0.5
H,7,"好想大声说喜欢你","BAAD",,,317,B - 左边单点、右边单点,B - 左边长条结尾、右边长条结尾,252,638,1466499,37 + 0.4
X,8,"幸福症候群","nanawoakari",,,404、405、406,B - 左边连点第 1 个,B - 右边连点第 1 个,220,523,1503289,35 + 0.0
W,6,"When You Know What Love Is","Craig David",,红色,423、423,B - 左边单点（cool）、右边单点,B - 左边连点第 1 个、左边连点第 2 个（cool）,294,562,1062060,34 - 0.5
,,"Checkmate","林俊杰/郑容和",,红色,128、415,A - 左边单点、右边长条开始,A - 左边滑键、右边单点,264,584,1060592,34 + 0.3
,,"素颜","许嵩/何曼婷",,红色,148、149、150,B - 右边单点,B - 左边滑键,79,213,460265,22 - 0.4
V,9,"VORACITY","MYTH & ROID",,,910,B - 左边单点、右边滑键,B - 左边白球,574,1220,2380646,39 + 0.1
F,9,"flower of sorrow","花たん",,,241、684,A - 左边长条结尾,A - 左边单点,423,927,1943214,38 + 0.3
,,"Talking to Myself","Linkin Park",,,304、550,A - 左边白球,A - 左边白球,377,661,1234130,29 + 0.3
,,"Come Back Down","Mediks",,,235、852,A - 右边白球,A - 右边白球,581,1153,2747198,43 - 0.5
,,"超大只怪兽","焦迈奇",,红色,87,A - 左边单点,A - 右边白球,138,292,717891,30 + 0.0
,,"两人份美好","李俊毅",,红色,258,B - 右边白球,B - 右边单点,190,419,969012,30 + 0.1
C,9,"courage","戸松遥",,,554,B - 右边长条开始,B - 右边白球,436,910,1863907,33 - 0.2
T,6,"太过爱你","MC梦",,红色,533、533,B - 右边连点第 1 个（cool）、右边连点第 2 个,B - 左边连点第 1 个、左边连点第 2 个（cool）,277,676,1211979,37 + 0.0
P,6,"Play It Cool","Steve Aoki/MONSTA X",,红色,101、102、103、103、189、195、196、197、197,A - 右边单点（cool）、左边单点,A - 右边白球,180,382,1068797,33 - 0.5
,,"Getaway","Syn Cole",,,364,B - 右边单点,B - 左边白球,258,643,1188741,28 + 0.0
,,"耿耿于怀","王笑文",,,632,B - 左边滑键,B - 左边长条中间,350,752,1399284,31 - 0.2
,,"HERO","李子璇",,红色,337,B - 左边单点,B - 左边白球,194,407,1050236,34 + 0.1
*,9,"デートアライブ","sweet ARMS",,,459、996,A - 左边白球,A - 左边长条中间、右边长条中间,587,1120,2007214,38 - 0.2
,,"我乐意(QQ炫舞系列主题曲)","许嵩",,红色,299,B - 右边长条中间,B - 左边长条结尾、右边长条结尾,247,545,1082975,29 + 0.1
W,9,"Whistle(困难版)","Flo Rida",,,468,A - 左边连点第 1 个,A - 左边单点、右边长条结尾,527,1241,2423767,39 + 0.0
I,8,"I Knew You Were Trouble","Taylor Swift",,,299、300,A - 右边白球,A - 右边长条结尾,427,689,1450855,34 - 0.5
G,6,"更发光","以团之名",,,513,B - 右边单点,B - 右边白球,378,663,1305990,30 + 0.2
H,9,"Hacking to the Gate","伊藤加奈子",,,935,B - 右边长条开始,B - 右边白球,652,1063,2017983,41 - 0.4
H,8,"Hey Baby 你是我的","李佳薇",,,606,B - 左边白球,B - 右边单点,351,742,1876035,36 + 0.0
N,6,"那时正好","赵政豪",,,427,B - 左边白球,B - 左边单点,256,702,1231571,25 + 0.3
A,8,"爱情的花样","孙燕姿",,,133、426,A - 左边长条中间、右边长条中间,A - 左边白球,288,581,1463278,36 - 0.4
,,"后会无期","徐良/汪苏泷",,红色,182、193,B - 右边单点,B - 右边白球,115,251,562092,23 + 0.0
,,"江南","林俊杰",,红色,117,A - 左边滑键,A - 左边白球、右边长条结尾,214,469,1007485,41 - 0.2
,,"DAYS of DASH","鈴木このみ",,,383、884,A - 右边单点,A - 右边滑键,493,994,1763912,36 - 0.3
L,7,"旅行的爱情","Samuel",,红色,302,B - 左边白球、右边长条中间,B - 右边白球、左边单点（cool）,280,625,1209421,36 - 0.4
,,"One In A Billion","Wake Up, May'n!",,,153,A - 左边长条开始、右边长条开始,A - 左边滑键,453,946,1894374,38 + 0.0
,,"太阳雨","QQ炫舞原创",,红色,123、124、135、136,B - 左边单点,B - 右边滑键,87,176,431320,20 - 0.3
G,8,"灌溉爱","郭采洁",,红色,118、118,A - 右边单点（cool）、左边白球,A - 右边单点、左边滑键（cool）,317,596,1369993,39 - 0.5
,,"Love Story","Taylor Swift",,红色,231,A - 右边单点,A - 左边白球,298,550,1332106,37 + 0.0
K,6,"Kids in the Dark","All Time Low",,,185、485,A - 左边单点,A - 左边单点,318,656,1317823,33 - 0.3
,,"滚烫的青春","王源",,红色,143、144,A - 左边长条结尾,A - 右边单点,220,440,802231,31 + 0.1
D,6,"Don't Need Your Love","NCT DREAM/HRVY",,红色,254,B - 左边白球,B - 右边连点第 2 个、左边单点（cool）,241,474,1051909,29 + 0.0
W,9,"五等分の気持ち","花泽香菜/竹達彩奈/伊藤美来/佐倉綾音/水瀬いのり",,,692,B - 右边滑键,B - 右边滑键,383,767,1905983,44 + 0.0
Y,9,"一吻天荒","胡歌",,,1145,B - 左边白球,B - 左边长条结尾、右边长条结尾,343,1215,2043747,40 - 0.4
Q,7,"群居动物","胡66",,,186、510,A - 左边单点,A - 左边单点,293,571,1432293,35 + 0.0
,,"Lil Mama","Jain",,红色,259、259、260、261、261,B - 左边连点第 2 个（cool）、右边单点,B - 右边白球,203,401,939759,33 + 0.4
T,7,"TOUCH MY HEART","罗志祥",,红色,210、210、446、446,A - 左边单点（cool）、右边长条开始,A - 左边白球,372,666,1235637,34 + 0.1
B,6,"别爱太满别睡太晚","贺一航",,,135、136、467、468,A - 右边单点,A - 左边连点第 1 个,271,603,1205267,30 + 0.1
S,10,"Shiny","高颖浠",,,463、469,A - 左边长条中间,A - 左边滑键、右边滑键,547,1028,2603120,52 - 0.5
,,"两小无猜","小木",,红色,462、462,B - 右边连点第 1 个（cool）、右边连点第 2 个,B - 右边单点、左边滑键（cool）,235,523,1193900,36 - 0.2
,,"青春大满贯","胡夏",,红色,375,B - 右边单点,B - 右边白球,373,632,1168516,31 + 0.0
L,6,"Love So Soft","Kelly Clarkson",,,245,B - 右边白球,B - 右边单点,239,491,1452151,36 - 0.5
G,10,"冠世一战","言和",50,,1179,B - 左边长条中间,B - 左边白球,570,1463,3094901,43 + 0.0
,,"树洞","欧阳娜娜",,,638,B - 左边长条开始、右边单点,B - 左边单点、右边单点,469,865,1557794,34 + 0.1
,,"LOVE IT LIVE IT","YDPP",,红色,145、145,A - 右边连点第 1 个（cool）、右边连点第 2 个,A - 右边白球,192,454,1027727,30 + 0.0
X,8,"響喜乱舞","GARNiDELiA",,,204、549,A - 左边白球,A - 左边单点,373,720,1956643,41 + 0.0
,,"赝品","简弘亦",,红色,327,B - 右边白球,B - 左边白球,213,446,1068097,32 - 0.3
,,"爱在我身边","吴映洁",,红色,155,B - 左边白球,B - 右边单点,107,235,653893,29 - 0.4
X,6,"星期天","张紫豪",,红色,328、329、330、330,B - 右边白球,B - 左边单点、左边单点（cool）,183,398,1056603,38 - 0.5
C,6,"彻底","庄心妍",,,260、648,A - 左边单点,A - 左边白球,363,753,1578481,30 + 0.2
U,9,"UNION","OxT",,,455、961,A - 左边长条开始、右边滑键,A - 右边单点,514,1020,2145342,41 + 0.3
,,"Pink Magic","艺声",,,164、165、323、324,A - 右边单点,A - 左边单点,231,477,1086373,28 + 0.0
,,"永世のクレイドル","鈴華ゆう子",,,269、644,A - 右边长条中间,A - 左边单点、右边单点,351,726,1360544,34 + 0.0
D,8,"DEAREST DROP","田所あずさ",,,389,A - 右边单点,A - 左边长条中间、右边长条中间,501,916,1899584,40 - 0.4
B,6,"Birthday","罗志祥",,,322,B - 左边单点,B - 右边白球,322,557,1193460,30 - 0.3
F,9,"Faded(困难版)","Alan Walker",,,608、609,B - 左边滑键,B - 右边单点,362,777,2238110,41 + 0.0
,,"盲眼画师","河图",,,226、520,A - 左边长条开始、右边长条开始,A - 左边白球,386,680,1234878,28 - 0.5
,,"带你去旅行","校长",,红色,410,B - 右边单点,B - 右边白球,237,468,1082315,33 - 0.3
,,"Brand New Story","GENERATIONS from EXILE TRIBE",,红色,295,B - 左边连点第 1 个,B - 左边长条中间,214,508,1053458,31 + 0.2
,,"Good Girl 赶快爱","陈芳语",,红色,161、412,A - 左边滑键、右边单点,A - 右边单点,223,474,1217004,33 + 0.0
G,6,"孤身","徐秉龙",,红色,304、304,B - 右边单点（cool）、右边单点,B - 左边白球,236,452,967512,34 - 0.5
H,6,"好奇的猫","胡66",,红色,154、156、156、404、406、406,A - 左边单点,A - 左边连点第 1 个、左边连点第 2 个（cool）,277,526,1152562,33 + 0.1
,,"最好的天气","郭采洁",,红色,350,B - 左边单点,B - 右边白球,197,489,1020468,27 + 0.1
G,9,"更新","Sabão",,,901,B - 左边单点、右边单点,B - 右边连点第 1 个,454,963,2300523,43 - 0.5
Q,6,"期待","Girl's Day",,红色,198,B - 左边单点、右边单点,B - 左边白球、右边长条结尾,171,432,1039957,34 + 0.0
X,6,"新青年","李行亮",,红色,388、391,B - 左边单点、右边单点,B - 左边连点第 2 个,246,485,1018186,32 - 0.2
W,8,"我的告白","王栎鑫/周文杰",,,546、547,B - 左边连点第 1 个,B - 左边单点,454,757,1688979,39 - 0.5
,,"Sweet but Psycho","Ava Max",,,169、404,A - 左边单点,A - 左边单点,326,737,1608042,34 + 0.1
,,"藏不住的心跳","朱主爱",,红色,286、286,B - 右边连点第 1 个（cool）、右边连点第 2 个,B - 左边白球,198,388,955068,35 + 0.0
A,8,"A型のうた","西野カナ",,,316、326,B - 左边单点,B - 右边单点,289,592,1652969,38 + 0.0
C,9,"Crash","The Primitives",,,658,B - 右边长条中间,B - 左边白球,335,836,1833092,40 + 0.4
K,10,"克罗地亚狂想曲","马克西姆",,,146、147、148、150、152、207、208、209、211、213,A - 右边连点第 1 个,A - 右边白球,395,719,2490557,47 + 0.0
F,6,"Flamingo","米津玄師",,红色,192、419,A - 右边白球,A - 左边长条中间,270,578,1085203,30 - 0.3
,,"春、恋桜。","majiko",,红色,237,B - 左边白球,B - 右边单点、左边单点（cool）,171,380,821521,27 + 0.0
,,"ME!","Taylor Swift/Brendon Urie",,红色,167,B - 右边长条开始,B - 右边单点,137,309,740531,30 + 0.3
B,7,"白衣少年","许诗茵",,,674,B - 左边单点,B - 右边白球,361,792,1652270,34 - 0.3
,,"唱起这首歌","刘人语",,红色,313、318,B - 左边长条开始,B - 右边单点,286,561,1243784,33 + 0.0
,,"Leave Out All The Rest","Linkin Park",,,295、300,A - 左边长条开始、右边单点,A - 左边单点、右边长条开始,572,1269,1983577,41 + 0.0
,,"For You","高颖浠",,红色,150,A - 右边长条中间,A - 右边连点第 2 个,189,360,886296,34 - 0.4
,,"雨后的咖啡","SNP",,红色,127、128、360、361,A - 右边滑键,A - 右边滑键,249,483,942784,28 + 0.0
,,"Light up","刘人语",,,949,B - 右边白球,B - 右边单点,522,1028,2405175,46 - 0.5
,,"大碗宽面","吴亦凡",,红色,75,A - 左边单点,A - 左边单点,130,311,769515,31 + 0.2
,,"有你我就不孤单","罗志祥/恺乐/C.T.O",,,214、444,A - 左边长条结尾,A - 右边单点,295,609,1537869,34 + 0.3
I,6,"I Want You to Know","Zedd/Selena Gomez",,,613、614,B - 右边单点,B - 右边白球,326,663,1402619,27 + 0.4
,,"Ring of Fortune","佐々木恵梨",,,210、672,A - 右边白球,A - 右边单点,461,929,1844191,33 + 0.3
,,"好喜欢你","颜人中",,红色,167、168、168,B - 右边单点,B - 右边单点、左边单点（cool）,164,353,862498,34 - 0.5
F,7,"Focus","TANGRAM",,,127、128、271、272、458、459,A - 右边连点第 1 个,A - 右边白球,210,518,1480876,33 - 0.5
C,9,"Candy Pop","TWICE",,,207、211、235、508、512,A - 左边单点、右边单点,A - 左边单点、右边单点,298,686,1680808,36 + 0.0
,,"朝代","排骨教主",,红色,191,B - 左边单点,B - 左边单点、右边滑键,166,351,961779,32 + 0.0
A,8,"Angel With A Shotgun","Nightcore",,,157、163、394、400,A - 左边长条开始,A - 右边单点,331,769,1468191,38 - 0.5
,,"Pure","向井太一",,红色,192,B - 左边白球,B - 左边白球、右边长条中间,130,265,823556,32 - 0.4
,,"BEE","Rothy",,红色,233,B - 右边单点,B - 左边白球,176,338,844504,31 - 0.2
,,"芒种","音阙诗听/赵方婧",,红色,280,B - 左边白球,B - 右边白球、右边单点（cool）,203,350,1011052,43 + 0.0
L,9,"啰哩叭唆","陈嘉桦",,,212、583,A - 左边白球,A - 左边白球,355,726,1762374,36 + 0.0
,,"光耀","梁心颐",,红色,175、176、176、176、177、177、423、424、424、424,A - 左边单点,A - 左边连点第 2 个、右边单点（cool）,259,507,1150236,36 - 0.4
F,10,"Fanfare","Sumika",,,749,B - 右边白球,B - 左边单点、右边单点,694,1463,2690439,44 - 0.5
,,"我们很好","林俊杰",,红色,287、293,B - 右边白球,B - 右边单点,224,426,806309,29 + 0.4
Q,10,"琪露诺的完美算术教室","IOSYS",,,720、721、722、723、724、725、726、727、728、748,B - 左边连点第 1 个,B - 左边连点第 1 个,697,1313,3521362,68 - 0.5
,,"魂不守舍","朱星杰",,红色,163,A - 左边白球,A - 左边长条结尾,204,439,979455,26 + 0.0
D,10,"Dura","Daddy Yankee",,,519、520,B - 左边单点,B - 左边单点,364,879,2769834,42 + 0.0
B,6,"Bon Bon(给他一击)","强东玥",,红色,444,B - 右边单点,B - 右边白球,259,482,1108624,31 - 0.5
,,"流光记","银临",,红色,176、176,A - 左边单点（cool）、右边单点,A - 左边白球,261,512,1178292,35 - 0.4
Z,10,"钻石微笑","Run Girls, Run！",,,282,A - 左边长条中间,A - 左边单点,554,1129,2487018,42 - 0.4
C,9,"长安诀","汪苏泷",,,334、852,A - 左边单点、右边单点,A - 左边单点、右边单点,432,992,1895854,40 + 0.1
T,8,"淘气堡","Chic Chili",,,367、369,A - 左边长条中间,A - 左边单点、右边长条开始,444,1019,1843207,36 - 0.1
S,6,"SHOW THE WORLD","林俊杰",,红色,123、124,A - 左边滑键,A - 左边单点,253,458,916464,26 + 0.2
L,9,"Last One Standing","Simple Plan",,,641,B - 右边长条开始,B - 左边单点,314,839,1785544,38 + 0.1
C,8,"宠坏","李俊佑/小潘潘",,,356、357,B - 右边单点,B - 左边连点第 2 个,325,602,1480448,35 - 0.4
,,"胡萝卜须","许嵩",,,205,A - 右边长条结尾,A - 左边滑键,286,633,1350829,36 - 0.5
R,7,"仁心所向","河图",,,435、858,A - 右边白球,A - 左边长条结尾、右边长条结尾,529,952,1519319,36 - 0.5
,,"Time with you","圭贤",,红色,51,A - 左边白球,A - 左边长条中间,211,383,763261,29 - 0.4
A,9,"Another(Feat. 王嘉尔)","秦奋",,,757,B - 右边连点第 1 个,B - 左边白球,523,1101,2401971,40 + 0.0
,,"鍵ノ間","黒兎ウル",,,772,B - 左边连点第 1 个,B - 右边白球,376,827,2211453,50 - 0.5
,,"カーストルーム","ZAQ",,,430、431,B - 右边单点,B - 右边单点,333,809,1658394,35 - 0.5
C,9,"Candy Boy","TWICE",,,159、363,A - 左边长条结尾,A - 左边单点、右边滑键,304,788,1914160,36 + 0.3
,,"Leaving California","Maroon 5",,红色,357,B - 右边长条中间,B - 左边单点,266,563,993835,29 - 0.4
M,8,"MARIA","黄明昊/KOHH",,,422、423、424,B - 右边单点,B - 左边连点第 1 个,369,689,1454413,36 - 0.3
,,"Loki","BC221",,红色,278,B - 右边长条开始,B - 右边单点,227,427,1018987,29 - 0.5
D,7,"豆你玩","李子璇",,红色,329、329,B - 左边单点（cool）、右边白球,B - 右边白球、左边滑键（cool）,263,434,1446503,60 + 0.0
,,"狂风里拥抱","信/A-Lin",,,389,B - 左边单点,B - 左边白球,376,725,1408976,36 - 0.5
,,"Too Much","Carly Rae Jepsen",,红色,241、260,B - 左边白球,B - 右边连点第 1 个、右边连点第 2 个（cool）,157,319,756338,36 - 0.5
,,"世界は恋に落ちている","CHiCO with HoneyWorks",,,195、517,A - 右边白球,A - 右边白球,299,621,1435008,35 + 0.4
S,6,"Sunny Side Up!","Red Velvet",,红色,177、394,A - 左边长条结尾,A - 左边连点第 2 个,249,507,1046780,30 + 0.0
,,"观花","萌娜丽莎/郑冰冰",,红色,162,A - 左边长条中间,A - 左边白球,228,475,1037748,31 + 0.4
D,7,"地铁等待","张紫豪",,,102、426,A - 左边白球,A - 右边单点,389,717,1389088,30 + 0.4
,,"I Still Do","Why Don't We",,红色,194、194,A - 左边连点第 1 个（cool）、左边连点第 2 个,A - 右边单点,239,418,833009,29 + 0.1
,,"我的名字","焦迈奇",,,202、203、454、455,A - 右边单点,A - 左边白球,292,546,1226476,28 - 0.5
,,"Shatter Me","Lindsey Stirling/Lzzy Hale",,红色,412、507、863,A - 右边连点第 1 个,A - 右边单点、左边单点（cool）,602,960,2443964,67 + 0.0
,,"别再靠近我了","陈雪凝",,,533,B - 右边长条开始,B - 左边长条结尾、右边长条结尾,322,602,1222040,31 - 0.3
B,6,"Break The Rules","Charli XCX",,红色,264,B - 左边白球,B - 右边连点第 1 个、右边连点第 2 个（cool）,190,382,1252020,39 + 0.0
,,"Dreams Come True","徐明浩",,,73,A - 左边长条开始,A - 右边连点第 2 个,252,506,1162693,31 - 0.5
,,"Snapping","金请夏",,红色,281、281,B - 右边单点（cool）、左边单点,B - 左边连点第 1 个、左边连点第 2 个（cool）,171,399,1013562,34 + 0.0
,,"I like you(炫舞音乐季主题曲)","孟美岐",,,483,B - 右边连点第 2 个,B - 左边连点第 4 个,336,732,1647105,37 + 0.2
R,10,"R.1.S.E","R1SE",,,2,A - 右边连点第 1 个,A - 左边白球,546,1123,2241097,43 + 0.0
,,"Ever After","Alice",,,215,A - 左边单点,A - 左边单点,334,638,1208071,30 + 0.3
,,"长安巷","排骨教主",,红色,158,B - 左边单点,B - 右边长条中间,157,340,874966,35 + 0.2
,,"傻了吧","大张伟",,,525、526、527,B - 左边连点第 1 个,B - 右边白球,440,1019,2469529,50 + 0.0
D,9,"当妮走了","徐真真",,,339,A - 左边白球,A - 右边长条开始,420,864,1858277,42 + 0.3
,,"アリエラ","佐香智久/天月-あまつき-",,,607,B - 右边长条中间,B - 左边单点,297,657,1656990,42 + 0.3
,,"HIT","SEVENTEEN",,,250、488,A - 左边长条结尾,A - 右边连点第 2 个,294,566,1301685,32 - 0.2
