首字母,等级,文件名,歌名,歌手,类型,技能,状态,先后,爆点,bar,box,开头描述,结尾描述,分数,指数
,,Love of red moon 5k节奏转谱 225.xml,"Love of red moon 5k节奏转谱","Lotze",非押爆,爆气,分开,二爆,909,66,10,A - 一轨长条右滑、四轨单点,A - 二轨单点、三轨长条中间,3302472,119 - 0.1
,,Love of red moon 5k节奏转谱 225.xml,"Love of red moon 5k节奏转谱","Lotze",非押爆,爆气,分开,一爆,756,58,26,A - 一轨长条右滑、四轨单点,A - 二轨单点、五轨长条左滑,3302472,119 - 0.1
,,Love of red moon 5k节奏转谱 225.xml,"Love of red moon 5k节奏转谱","Lotze",非押爆,爆气,分开,二爆,877,64,26,A - 二轨单点、五轨单点,A - 一轨长条开始、四轨单点,3302472,119 - 0.1
,,Love of red moon 5k节奏转谱 225.xml,"Love of red moon 5k节奏转谱","Lotze",非押爆,爆气,分开,一爆,756,58,26,A - 一轨长条右滑、四轨单点,A - 二轨单点、五轨长条左滑,3302472,119 - 0.1
,,Love of red moon 5k节奏转谱 225.xml,"Love of red moon 5k节奏转谱","Lotze",非押爆,爆气,分开,二爆,905,66,4,A - 一轨长条中间、五轨单点,A - 二一轨滑键、四轨长条左滑,3302472,119 - 0.1
,,Love of red moon 5k节奏转谱 225.xml,"Love of red moon 5k节奏转谱","Lotze",非押爆,爆气,分开,一爆,756,58,26,A - 一轨长条右滑、四轨单点,A - 二轨单点、五轨长条左滑,3302472,119 - 0.1
,,Love of red moon 5k节奏转谱 225.xml,"Love of red moon 5k节奏转谱","Lotze",非押爆,爆气,分开,二爆,909,66,10,A - 一轨长条右滑、四轨单点,A - 二轨单点、三轨长条中间,3302472,119 - 0.1
,,Love of red moon 5k节奏转谱 225.xml,"Love of red moon 5k节奏转谱","Lotze",押爆,爆气,分开,一爆,49,11,8,A - 四轨长条中间,A - 一轨单点、四轨单点,3313515,123 - 0.5
,,Love of red moon 5k节奏转谱 225.xml,"Love of red moon 5k节奏转谱","Lotze",押爆,爆气,分开,二爆,747,58,10,A - 五轨长条中间,A - 二轨单点、四轨长条右滑,3313515,123 - 0.5
,,Love of red moon 5k节奏转谱 225.xml,"Love of red moon 5k节奏转谱","Lotze",押爆,爆气,分开,一爆,49,11,8,A - 四轨长条中间,A - 一轨单点、四轨单点,3313515,123 - 0.5
,,Love of red moon 5k节奏转谱 225.xml,"Love of red moon 5k节奏转谱","Lotze",押爆,爆气,分开,二爆,754,58,22,A - 一轨长条中间,A - 二轨单点、五轨长条左滑,3313515,123 - 0.5
,,Love of red moon 5k节奏转谱 225.xml,"Love of red moon 5k节奏转谱","Lotze",押爆,爆气,分开,一爆,49,11,8,A - 四轨长条中间,A - 一轨单点、四轨单点,3313515,123 - 0.5
,,Love of red moon 5k节奏转谱 225.xml,"Love of red moon 5k节奏转谱","Lotze",押爆,爆气,分开,二爆,756,58,25,A - 一轨长条右滑、四轨单点,A - 四轨长条中间,3313515,123 - 0.5
,,Love of red moon 5k节奏转谱 225.xml,"Love of red moon 5k节奏转谱","Lotze",押爆,爆气,分开,一爆,49,11,8,A - 四轨长条中间,A - 一轨单点、四轨单点,3313515,123 - 0.5
,,Love of red moon 5k节奏转谱 225.xml,"Love of red moon 5k节奏转谱","Lotze",押爆,爆气,分开,二爆,815,61,26,A - 二轨单点、五轨单点,A - 一轨长条中间,3313515,123 - 0.5
,,Drama 4k节奏转谱 201.xml,"Drama 4k节奏转谱","Diana Boncheva",非押爆,爆气,分开,一爆,705,60,13,A - 二轨长条左滑,A - 一轨单点,3788715,117 + 0.2
,,Drama 4k节奏转谱 201.xml,"Drama 4k节奏转谱","Diana Boncheva",非押爆,爆气,分开,二爆,801,68,6,A - 二轨单点,A - 二一轨滑键、四轨长条开始,3788715,117 + 0.2
,,Drama 4k节奏转谱 201.xml,"Drama 4k节奏转谱","Diana Boncheva",押爆,爆气,分开,一爆,704,60,12,A - 二轨长条中间,A - 一轨单点,3800914,120 - 0.5
,,Drama 4k节奏转谱 201.xml,"Drama 4k节奏转谱","Diana Boncheva",押爆,爆气,分开,二爆,800,68,2,A - 三轨单点,A - 二一轨滑键、四轨长条开始,3800914,120 - 0.5
,,Dear Mozart 5k节奏转谱 315.xml,"Dear Mozart 5k节奏转谱","JerryC",非押爆,极限,分开,一爆,2165,127,2,A - 五轨长条开始,A - 一轨单点、三轨单点,6213339,131 - 0.4
,,Dear Mozart 5k节奏转谱 315.xml,"Dear Mozart 5k节奏转谱","JerryC",非押爆,极限,分开,二爆,2478,142,14,A - 一轨单点、四轨单点,A - 二轨长条左滑、五轨长条结尾,6213339,131 - 0.4
,,Dear Mozart 5k节奏转谱 315.xml,"Dear Mozart 5k节奏转谱","JerryC",非押爆,极限,分开,一爆,2165,127,2,A - 五轨长条开始,A - 一轨单点、三轨单点,6213339,131 - 0.4
,,Dear Mozart 5k节奏转谱 315.xml,"Dear Mozart 5k节奏转谱","JerryC",非押爆,极限,分开,二爆,2480,142,20,A - 二轨单点、三轨单点,A - 一轨单点、三轨单点,6213339,131 - 0.4
,,Dear Mozart 5k节奏转谱 315.xml,"Dear Mozart 5k节奏转谱","JerryC",非押爆,极限,分开,一爆,2165,127,2,A - 五轨长条开始,A - 一轨单点、三轨单点,6213339,131 - 0.4
,,Dear Mozart 5k节奏转谱 315.xml,"Dear Mozart 5k节奏转谱","JerryC",非押爆,极限,分开,二爆,2482,142,26,A - 一轨单点、四轨单点,A - 一轨单点、四轨单点,6213339,131 - 0.4
,,Dear Mozart 5k节奏转谱 315.xml,"Dear Mozart 5k节奏转谱","JerryC",非押爆,极限,分开,一爆,2165,127,2,A - 五轨长条开始,A - 一轨单点、三轨单点,6213339,131 - 0.4
,,Dear Mozart 5k节奏转谱 315.xml,"Dear Mozart 5k节奏转谱","JerryC",非押爆,极限,分开,二爆,2484,143,0,A - 二轨单点、三轨单点,A - 二轨单点、五轨单点,6213339,131 - 0.4
,,Dear Mozart 5k节奏转谱 315.xml,"Dear Mozart 5k节奏转谱","JerryC",非押爆,极限,分开,一爆,2165,127,2,A - 五轨长条开始,A - 一轨单点、三轨单点,6213339,131 - 0.4
,,Dear Mozart 5k节奏转谱 315.xml,"Dear Mozart 5k节奏转谱","JerryC",非押爆,极限,分开,二爆,2486,143,6,A - 二轨单点、四轨单点,A - 二轨单点、四轨单点,6213339,131 - 0.4
,,Dear Mozart 5k节奏转谱 315.xml,"Dear Mozart 5k节奏转谱","JerryC",非押爆,极限,分开,一爆,2165,127,2,A - 五轨长条开始,A - 一轨单点、三轨单点,6213339,131 - 0.4
,,Dear Mozart 5k节奏转谱 315.xml,"Dear Mozart 5k节奏转谱","JerryC",非押爆,极限,分开,二爆,2488,143,12,A - 三轨单点、五轨单点,A - 三轨单点、五轨单点,6213339,131 - 0.4
,,Dear Mozart 5k节奏转谱 315.xml,"Dear Mozart 5k节奏转谱","JerryC",非押爆,极限,分开,一爆,2165,127,2,A - 五轨长条开始,A - 一轨单点、三轨单点,6213339,131 - 0.4
,,Dear Mozart 5k节奏转谱 315.xml,"Dear Mozart 5k节奏转谱","JerryC",非押爆,极限,分开,二爆,2490,143,18,A - 一轨单点、四轨单点,A - 一轨单点、四轨单点,6213339,131 - 0.4
,,Dear Mozart 5k节奏转谱 315.xml,"Dear Mozart 5k节奏转谱","JerryC",非押爆,极限,分开,一爆,2165,127,2,A - 五轨长条开始,A - 一轨单点、三轨单点,6213339,131 - 0.4
,,Dear Mozart 5k节奏转谱 315.xml,"Dear Mozart 5k节奏转谱","JerryC",非押爆,极限,分开,二爆,2492,143,24,A - 二轨单点、五轨单点,A - 三轨单点、五轨单点,6213339,131 - 0.4
,,Dear Mozart 5k节奏转谱 315.xml,"Dear Mozart 5k节奏转谱","JerryC",非押爆,极限,分开,一爆,2165,127,2,A - 五轨长条开始,A - 一轨单点、三轨单点,6213339,131 - 0.4
,,Dear Mozart 5k节奏转谱 315.xml,"Dear Mozart 5k节奏转谱","JerryC",非押爆,极限,分开,二爆,2494,143,30,A - 一轨单点、三轨单点,A - 二轨单点、四轨单点,6213339,131 - 0.4
,,Dear Mozart 5k节奏转谱 315.xml,"Dear Mozart 5k节奏转谱","JerryC",非押爆,极限,分开,一爆,2165,127,2,A - 五轨长条开始,A - 一轨单点、三轨单点,6213339,131 - 0.4
,,Dear Mozart 5k节奏转谱 315.xml,"Dear Mozart 5k节奏转谱","JerryC",非押爆,极限,分开,二爆,2496,144,4,A - 三轨单点、四轨单点,A - 一轨单点、三轨单点,6213339,131 - 0.4
,,Dear Mozart 5k节奏转谱 315.xml,"Dear Mozart 5k节奏转谱","JerryC",押爆,极限,分开,一爆,2166,127,4,A - 五轨长条中间,A - 二轨单点、四轨单点,6217152,133 - 0.2
,,Dear Mozart 5k节奏转谱 315.xml,"Dear Mozart 5k节奏转谱","JerryC",押爆,极限,分开,二爆,2472,141,28,A - 二轨单点、五轨单点,A - 二轨长条中间、五轨长条中间,6217152,133 - 0.2
,,Drunkenstein 4k节奏转谱 192.xml,"Drunkenstein 4k节奏转谱","Paul Bazooka",非押爆,爆气,分开,一爆,396,31,14,A - 二轨单点、三轨单点,A - 一轨长条右滑、三轨单点,4110094,131 - 0.2
,,Drunkenstein 4k节奏转谱 192.xml,"Drunkenstein 4k节奏转谱","Paul Bazooka",非押爆,爆气,分开,二爆,940,62,24,A - 二轨单点、四轨长条开始,A - 一轨单点、三轨长条右滑,4110094,131 - 0.2
,,Drunkenstein 4k节奏转谱 192.xml,"Drunkenstein 4k节奏转谱","Paul Bazooka",押爆,爆气,分开,一爆,396,31,10,A - 二轨单点、三轨单点,A - 一轨长条右滑、三轨单点,4115398,132 - 0.2
,,Drunkenstein 4k节奏转谱 192.xml,"Drunkenstein 4k节奏转谱","Paul Bazooka",押爆,爆气,分开,二爆,944,62,29,A - 二轨单点、四轨长条结尾,A - 二轨长条左滑,4115398,132 - 0.2
,,Beethoven Virus 5k节奏转谱 312_odd.xml,"Beethoven Virus 5k节奏转谱","Diana Boncheva",非押爆,爆气,分开,一爆,781,127,8,A - 一轨单点,A - 一轨单点,2810249,78 + 0.0
,,Beethoven Virus 5k节奏转谱 312_odd.xml,"Beethoven Virus 5k节奏转谱","Diana Boncheva",非押爆,爆气,分开,二爆,889,143,8,A - 一轨单点,A - 一轨单点,2810249,78 + 0.0
,,Beethoven Virus 5k节奏转谱 312_odd.xml,"Beethoven Virus 5k节奏转谱","Diana Boncheva",非押爆,爆气,分开,一爆,781,127,8,A - 一轨单点,A - 一轨单点,2810249,78 + 0.0
,,Beethoven Virus 5k节奏转谱 312_odd.xml,"Beethoven Virus 5k节奏转谱","Diana Boncheva",非押爆,爆气,分开,二爆,890,143,12,A - 三轨单点,A - 三轨单点,2810249,78 + 0.0
,,Beethoven Virus 5k节奏转谱 312_odd.xml,"Beethoven Virus 5k节奏转谱","Diana Boncheva",非押爆,爆气,分开,一爆,781,127,8,A - 一轨单点,A - 一轨单点,2810249,78 + 0.0
,,Beethoven Virus 5k节奏转谱 312_odd.xml,"Beethoven Virus 5k节奏转谱","Diana Boncheva",非押爆,爆气,分开,二爆,891,143,16,A - 五轨单点,A - 四轨单点,2810249,78 + 0.0
,,Beethoven Virus 5k节奏转谱 312_odd.xml,"Beethoven Virus 5k节奏转谱","Diana Boncheva",非押爆,爆气,分开,一爆,781,127,8,A - 一轨单点,A - 一轨单点,2810249,78 + 0.0
,,Beethoven Virus 5k节奏转谱 312_odd.xml,"Beethoven Virus 5k节奏转谱","Diana Boncheva",非押爆,爆气,分开,二爆,892,143,20,A - 四轨单点,A - 五轨单点,2810249,78 + 0.0
,,Beethoven Virus 5k节奏转谱 312_odd.xml,"Beethoven Virus 5k节奏转谱","Diana Boncheva",非押爆,爆气,分开,一爆,782,127,12,A - 三轨单点,A - 三轨单点,2810249,78 + 0.0
,,Beethoven Virus 5k节奏转谱 312_odd.xml,"Beethoven Virus 5k节奏转谱","Diana Boncheva",非押爆,爆气,分开,二爆,889,143,8,A - 一轨单点,A - 一轨单点,2810249,78 + 0.0
,,Beethoven Virus 5k节奏转谱 312_odd.xml,"Beethoven Virus 5k节奏转谱","Diana Boncheva",非押爆,爆气,分开,一爆,782,127,12,A - 三轨单点,A - 三轨单点,2810249,78 + 0.0
,,Beethoven Virus 5k节奏转谱 312_odd.xml,"Beethoven Virus 5k节奏转谱","Diana Boncheva",非押爆,爆气,分开,二爆,890,143,12,A - 三轨单点,A - 三轨单点,2810249,78 + 0.0
,,Beethoven Virus 5k节奏转谱 312_odd.xml,"Beethoven Virus 5k节奏转谱","Diana Boncheva",非押爆,爆气,分开,一爆,782,127,12,A - 三轨单点,A - 三轨单点,2810249,78 + 0.0
,,Beethoven Virus 5k节奏转谱 312_odd.xml,"Beethoven Virus 5k节奏转谱","Diana Boncheva",非押爆,爆气,分开,二爆,891,143,16,A - 五轨单点,A - 四轨单点,2810249,78 + 0.0
,,Beethoven Virus 5k节奏转谱 312_odd.xml,"Beethoven Virus 5k节奏转谱","Diana Boncheva",非押爆,爆气,分开,一爆,782,127,12,A - 三轨单点,A - 三轨单点,2810249,78 + 0.0
,,Beethoven Virus 5k节奏转谱 312_odd.xml,"Beethoven Virus 5k节奏转谱","Diana Boncheva",非押爆,爆气,分开,二爆,892,143,20,A - 四轨单点,A - 五轨单点,2810249,78 + 0.0
,,Beethoven Virus 5k节奏转谱 312_odd.xml,"Beethoven Virus 5k节奏转谱","Diana Boncheva",非押爆,爆气,分开,一爆,783,127,16,A - 五轨单点,A - 四轨单点,2810249,78 + 0.0
,,Beethoven Virus 5k节奏转谱 312_odd.xml,"Beethoven Virus 5k节奏转谱","Diana Boncheva",非押爆,爆气,分开,二爆,889,143,8,A - 一轨单点,A - 一轨单点,2810249,78 + 0.0
,,Beethoven Virus 5k节奏转谱 312_odd.xml,"Beethoven Virus 5k节奏转谱","Diana Boncheva",非押爆,爆气,分开,一爆,783,127,16,A - 五轨单点,A - 四轨单点,2810249,78 + 0.0
,,Beethoven Virus 5k节奏转谱 312_odd.xml,"Beethoven Virus 5k节奏转谱","Diana Boncheva",非押爆,爆气,分开,二爆,890,143,12,A - 三轨单点,A - 三轨单点,2810249,78 + 0.0
,,Beethoven Virus 5k节奏转谱 312_odd.xml,"Beethoven Virus 5k节奏转谱","Diana Boncheva",押爆,爆气,分开,一爆,781,127,8,A - 一轨单点,A - 三轨单点,2820857,80 + 0.0
,,Beethoven Virus 5k节奏转谱 312_odd.xml,"Beethoven Virus 5k节奏转谱","Diana Boncheva",押爆,爆气,分开,二爆,889,143,8,A - 一轨单点,A - 三轨单点,2820857,80 + 0.0
,,Beethoven Virus 5k节奏转谱 312_odd.xml,"Beethoven Virus 5k节奏转谱","Diana Boncheva",押爆,爆气,分开,一爆,781,127,8,A - 一轨单点,A - 三轨单点,2820857,80 + 0.0
,,Beethoven Virus 5k节奏转谱 312_odd.xml,"Beethoven Virus 5k节奏转谱","Diana Boncheva",押爆,爆气,分开,二爆,890,143,12,A - 三轨单点,A - 四轨单点,2820857,80 + 0.0
,,Beethoven Virus 5k节奏转谱 312_odd.xml,"Beethoven Virus 5k节奏转谱","Diana Boncheva",押爆,爆气,分开,一爆,781,127,8,A - 一轨单点,A - 三轨单点,2820857,80 + 0.0
,,Beethoven Virus 5k节奏转谱 312_odd.xml,"Beethoven Virus 5k节奏转谱","Diana Boncheva",押爆,爆气,分开,二爆,891,143,16,A - 五轨单点,A - 五轨单点,2820857,80 + 0.0
,,Beethoven Virus 5k节奏转谱 312_odd.xml,"Beethoven Virus 5k节奏转谱","Diana Boncheva",押爆,爆气,分开,一爆,782,127,12,A - 三轨单点,A - 四轨单点,2820857,80 + 0.0
,,Beethoven Virus 5k节奏转谱 312_odd.xml,"Beethoven Virus 5k节奏转谱","Diana Boncheva",押爆,爆气,分开,二爆,889,143,8,A - 一轨单点,A - 三轨单点,2820857,80 + 0.0
,,Beethoven Virus 5k节奏转谱 312_odd.xml,"Beethoven Virus 5k节奏转谱","Diana Boncheva",押爆,爆气,分开,一爆,782,127,12,A - 三轨单点,A - 四轨单点,2820857,80 + 0.0
,,Beethoven Virus 5k节奏转谱 312_odd.xml,"Beethoven Virus 5k节奏转谱","Diana Boncheva",押爆,爆气,分开,二爆,890,143,12,A - 三轨单点,A - 四轨单点,2820857,80 + 0.0
,,Beethoven Virus 5k节奏转谱 312_odd.xml,"Beethoven Virus 5k节奏转谱","Diana Boncheva",押爆,爆气,分开,一爆,782,127,12,A - 三轨单点,A - 四轨单点,2820857,80 + 0.0
,,Beethoven Virus 5k节奏转谱 312_odd.xml,"Beethoven Virus 5k节奏转谱","Diana Boncheva",押爆,爆气,分开,二爆,891,143,16,A - 五轨单点,A - 五轨单点,2820857,80 + 0.0
,,Beethoven Virus 5k节奏转谱 312_odd.xml,"Beethoven Virus 5k节奏转谱","Diana Boncheva",押爆,爆气,分开,一爆,783,127,16,A - 五轨单点,A - 五轨单点,2820857,80 + 0.0
,,Beethoven Virus 5k节奏转谱 312_odd.xml,"Beethoven Virus 5k节奏转谱","Diana Boncheva",押爆,爆气,分开,二爆,889,143,8,A - 一轨单点,A - 三轨单点,2820857,80 + 0.0
,,Beethoven Virus 5k节奏转谱 312_odd.xml,"Beethoven Virus 5k节奏转谱","Diana Boncheva",押爆,爆气,分开,一爆,783,127,16,A - 五轨单点,A - 五轨单点,2820857,80 + 0.0
,,Beethoven Virus 5k节奏转谱 312_odd.xml,"Beethoven Virus 5k节奏转谱","Diana Boncheva",押爆,爆气,分开,二爆,890,143,12,A - 三轨单点,A - 四轨单点,2820857,80 + 0.0
,,Beethoven Virus 5k节奏转谱 312_odd.xml,"Beethoven Virus 5k节奏转谱","Diana Boncheva",押爆,爆气,分开,一爆,783,127,16,A - 五轨单点,A - 五轨单点,2820857,80 + 0.0
,,Beethoven Virus 5k节奏转谱 312_odd.xml,"Beethoven Virus 5k节奏转谱","Diana Boncheva",押爆,爆气,分开,二爆,891,143,16,A - 五轨单点,A - 五轨单点,2820857,80 + 0.0
,,Bad Apple!! 4k节奏转谱 276_odd.xml,"Bad Apple!! 4k节奏转谱","Nomiko",非押爆,极限,分开,一爆,595,55,30,A - 一轨长条中间,A - 二轨单点、三轨单点,3521802,76 - 0.3
,,Bad Apple!! 4k节奏转谱 276_odd.xml,"Bad Apple!! 4k节奏转谱","Nomiko",非押爆,极限,分开,二爆,1536,154,24,A - 二轨单点、四轨单点,A - 四轨单点,3521802,76 - 0.3
,,Bad Apple!! 4k节奏转谱 276_odd.xml,"Bad Apple!! 4k节奏转谱","Nomiko",非押爆,极限,分开,一爆,596,55,31,A - 一轨长条中间、四轨长条开始,A - 二轨单点、三轨单点,3521802,76 - 0.3
,,Bad Apple!! 4k节奏转谱 276_odd.xml,"Bad Apple!! 4k节奏转谱","Nomiko",非押爆,极限,分开,二爆,1536,154,24,A - 二轨单点、四轨单点,A - 四轨单点,3521802,76 - 0.3
,,Bad Apple!! 4k节奏转谱 276_odd.xml,"Bad Apple!! 4k节奏转谱","Nomiko",押爆,极限,分开,一爆,1195,120,16,A - 一轨单点、三四轨滑键,A - 一轨单点、三轨单点,3524766,77 + 0.4
,,Bad Apple!! 4k节奏转谱 276_odd.xml,"Bad Apple!! 4k节奏转谱","Nomiko",押爆,极限,分开,二爆,1508,152,0,A - 二轨长条开始、四轨长条开始,A - 一轨单点、四轨长条左滑,3524766,77 + 0.4
,,Goldtown 4k节奏转谱 240.xml,"Goldtown 4k节奏转谱","Memme",非押爆,爆气,分开,一爆,1099,95,0,A - 一轨单点、三轨长条右滑,A - 一轨单点、四轨长条左滑,4053565,115 - 0.5
,,Goldtown 4k节奏转谱 240.xml,"Goldtown 4k节奏转谱","Memme",非押爆,爆气,分开,二爆,1482,117,10,A - 二一轨滑键、四三轨滑键,A - 一轨单点,4053565,115 - 0.5
,,Goldtown 4k节奏转谱 240.xml,"Goldtown 4k节奏转谱","Memme",非押爆,爆气,分开,一爆,1110,95,18,A - 二轨长条左滑、四轨单点,A - 二轨单点、三轨长条右滑,4053565,115 - 0.5
,,Goldtown 4k节奏转谱 240.xml,"Goldtown 4k节奏转谱","Memme",非押爆,爆气,分开,二爆,1482,117,10,A - 二一轨滑键、四三轨滑键,A - 一轨单点,4053565,115 - 0.5
,,Goldtown 4k节奏转谱 240.xml,"Goldtown 4k节奏转谱","Memme",非押爆,爆气,分开,一爆,1146,97,14,A - 一轨长条右滑、三轨单点,A - 二轨单点、三轨长条右滑,4053565,115 - 0.5
,,Goldtown 4k节奏转谱 240.xml,"Goldtown 4k节奏转谱","Memme",非押爆,爆气,分开,二爆,1482,117,10,A - 二一轨滑键、四三轨滑键,A - 一轨单点,4053565,115 - 0.5
,,Goldtown 4k节奏转谱 240.xml,"Goldtown 4k节奏转谱","Memme",非押爆,爆气,分开,一爆,1157,98,0,A - 一轨单点、四轨长条左滑,A - 一轨单点、四轨长条左滑,4053565,115 - 0.5
,,Goldtown 4k节奏转谱 240.xml,"Goldtown 4k节奏转谱","Memme",非押爆,爆气,分开,二爆,1482,117,10,A - 二一轨滑键、四三轨滑键,A - 一轨单点,4053565,115 - 0.5
,,Goldtown 4k节奏转谱 240.xml,"Goldtown 4k节奏转谱","Memme",非押爆,爆气,分开,一爆,1168,98,18,A - 二轨单点、四轨长条左滑,A - 二轨单点、三轨长条右滑,4053565,115 - 0.5
,,Goldtown 4k节奏转谱 240.xml,"Goldtown 4k节奏转谱","Memme",非押爆,爆气,分开,二爆,1482,117,10,A - 二一轨滑键、四三轨滑键,A - 一轨单点,4053565,115 - 0.5
,,Goldtown 4k节奏转谱 240.xml,"Goldtown 4k节奏转谱","Memme",押爆,爆气,分开,一爆,1097,94,28,A - 三轨长条中间,A - 一轨单点、四轨长条左滑,4062051,116 + 0.1
,,Goldtown 4k节奏转谱 240.xml,"Goldtown 4k节奏转谱","Memme",押爆,爆气,分开,二爆,1480,117,0,A - 一二轨滑键、三四轨滑键,A - 一轨长条右滑、四三轨滑键,4062051,116 + 0.1
,,Goldtown 4k节奏转谱 240.xml,"Goldtown 4k节奏转谱","Memme",押爆,爆气,分开,一爆,1097,94,28,A - 三轨长条中间,A - 一轨单点、四轨长条左滑,4062051,116 + 0.1
,,Goldtown 4k节奏转谱 240.xml,"Goldtown 4k节奏转谱","Memme",押爆,爆气,分开,二爆,1482,117,9,A - 二一轨滑键、四三轨滑键,A - 三四轨滑键,4062051,116 + 0.1
,,Goldtown 4k节奏转谱 240.xml,"Goldtown 4k节奏转谱","Memme",押爆,爆气,分开,一爆,1098,94,29,A - 三轨长条中间,A - 一轨单点、四轨长条左滑,4062051,116 + 0.1
,,Goldtown 4k节奏转谱 240.xml,"Goldtown 4k节奏转谱","Memme",押爆,爆气,分开,二爆,1480,117,0,A - 一二轨滑键、三四轨滑键,A - 一轨长条右滑、四三轨滑键,4062051,116 + 0.1
,,Goldtown 4k节奏转谱 240.xml,"Goldtown 4k节奏转谱","Memme",押爆,爆气,分开,一爆,1098,94,29,A - 三轨长条中间,A - 一轨单点、四轨长条左滑,4062051,116 + 0.1
,,Goldtown 4k节奏转谱 240.xml,"Goldtown 4k节奏转谱","Memme",押爆,爆气,分开,二爆,1482,117,9,A - 二一轨滑键、四三轨滑键,A - 三四轨滑键,4062051,116 + 0.1
,,Goldtown 4k节奏转谱 240.xml,"Goldtown 4k节奏转谱","Memme",押爆,爆气,分开,一爆,1108,95,14,A - 二轨长条中间,A - 二轨单点、三轨长条右滑,4062051,116 + 0.1
,,Goldtown 4k节奏转谱 240.xml,"Goldtown 4k节奏转谱","Memme",押爆,爆气,分开,二爆,1480,117,0,A - 一二轨滑键、三四轨滑键,A - 一轨长条右滑、四三轨滑键,4062051,116 + 0.1
,,Goldtown 4k节奏转谱 240.xml,"Goldtown 4k节奏转谱","Memme",押爆,爆气,分开,一爆,1108,95,14,A - 二轨长条中间,A - 二轨单点、三轨长条右滑,4062051,116 + 0.1
,,Goldtown 4k节奏转谱 240.xml,"Goldtown 4k节奏转谱","Memme",押爆,爆气,分开,二爆,1482,117,9,A - 二一轨滑键、四三轨滑键,A - 三四轨滑键,4062051,116 + 0.1
,,Goldtown 4k节奏转谱 240.xml,"Goldtown 4k节奏转谱","Memme",押爆,爆气,分开,一爆,1109,95,15,A - 二轨长条中间,A - 二轨单点、三轨长条右滑,4062051,116 + 0.1
,,Goldtown 4k节奏转谱 240.xml,"Goldtown 4k节奏转谱","Memme",押爆,爆气,分开,二爆,1480,117,0,A - 一二轨滑键、三四轨滑键,A - 一轨长条右滑、四三轨滑键,4062051,116 + 0.1
,,Goldtown 4k节奏转谱 240.xml,"Goldtown 4k节奏转谱","Memme",押爆,爆气,分开,一爆,1109,95,15,A - 二轨长条中间,A - 二轨单点、三轨长条右滑,4062051,116 + 0.1
,,Goldtown 4k节奏转谱 240.xml,"Goldtown 4k节奏转谱","Memme",押爆,爆气,分开,二爆,1482,117,9,A - 二一轨滑键、四三轨滑键,A - 三四轨滑键,4062051,116 + 0.1
,,Goldtown 4k节奏转谱 240.xml,"Goldtown 4k节奏转谱","Memme",押爆,爆气,分开,一爆,1144,97,10,A - 一轨长条中间,A - 二轨单点、三轨长条右滑,4062051,116 + 0.1
,,Goldtown 4k节奏转谱 240.xml,"Goldtown 4k节奏转谱","Memme",押爆,爆气,分开,二爆,1480,117,0,A - 一二轨滑键、三四轨滑键,A - 一轨长条右滑、四三轨滑键,4062051,116 + 0.1
,,Goldtown 4k节奏转谱 240.xml,"Goldtown 4k节奏转谱","Memme",押爆,爆气,分开,一爆,1144,97,10,A - 一轨长条中间,A - 二轨单点、三轨长条右滑,4062051,116 + 0.1
,,Goldtown 4k节奏转谱 240.xml,"Goldtown 4k节奏转谱","Memme",押爆,爆气,分开,二爆,1482,117,9,A - 二一轨滑键、四三轨滑键,A - 三四轨滑键,4062051,116 + 0.1
,,Dogs Eating Dogs 4k节奏转谱 280.5.xml,"Dogs Eating Dogs 4k节奏转谱","Blink-182",非押爆,极限,分开,一爆,694,53,0,A - 三四轨滑键,A - 三轨单点,4927240,106 + 0.0
,,Dogs Eating Dogs 4k节奏转谱 280.5.xml,"Dogs Eating Dogs 4k节奏转谱","Blink-182",非押爆,极限,分开,二爆,747,57,31,A - 一轨单点,A - 一轨单点,4927240,106 + 0.0
,,Dogs Eating Dogs 4k节奏转谱 280.5.xml,"Dogs Eating Dogs 4k节奏转谱","Blink-182",非押爆,极限,分开,一爆,694,53,0,A - 三四轨滑键,A - 三轨单点,4927240,106 + 0.0
,,Dogs Eating Dogs 4k节奏转谱 280.5.xml,"Dogs Eating Dogs 4k节奏转谱","Blink-182",非押爆,极限,分开,二爆,748,58,2,A - 三四轨滑键,A - 三轨单点,4927240,106 + 0.0
,,Dogs Eating Dogs 4k节奏转谱 280.5.xml,"Dogs Eating Dogs 4k节奏转谱","Blink-182",非押爆,极限,分开,一爆,694,53,0,A - 三四轨滑键,A - 三轨单点,4927240,106 + 0.0
,,Dogs Eating Dogs 4k节奏转谱 280.5.xml,"Dogs Eating Dogs 4k节奏转谱","Blink-182",非押爆,极限,分开,二爆,749,58,5,A - 一轨单点,A - 一轨单点,4927240,106 + 0.0
,,Dogs Eating Dogs 4k节奏转谱 280.5.xml,"Dogs Eating Dogs 4k节奏转谱","Blink-182",非押爆,极限,分开,一爆,694,53,0,A - 三四轨滑键,A - 三轨单点,4927240,106 + 0.0
,,Dogs Eating Dogs 4k节奏转谱 280.5.xml,"Dogs Eating Dogs 4k节奏转谱","Blink-182",非押爆,极限,分开,二爆,750,58,8,A - 三轨单点,A - 三轨单点,4927240,106 + 0.0
,,Dogs Eating Dogs 4k节奏转谱 280.5.xml,"Dogs Eating Dogs 4k节奏转谱","Blink-182",非押爆,极限,分开,一爆,694,53,0,A - 三四轨滑键,A - 三轨单点,4927240,106 + 0.0
