字母,等级,歌名,歌手,突变,技能,类型,双排爆点,开头描述,结尾描述,半cb,全cb,双指数,单排爆点,开头描述,结尾描述,半cb,全cb,分数,单指数
*,9,"ペガサス幻想","MAKE-UP",,,存气,402 + 699,A - 二轨长条开始^^^B - 二一轨滑条,A - 一二轨滑键、四轨长条左滑^^^B - 一轨长条结尾、三轨长条结尾,420,1106,100 - 0.3,722、723,B - 三轨单点,B - 二一轨滑键、三轨单点,420,1106,2273846,52 - 0.4
,,"触动心触动爱","BY2",,红色,分开,160 + 292,B - 三轨单点^^^B - 二轨单点,B - 二轨单点^^^B - 一轨单点,142,324,54 + 0.0,160、292,B - 三轨单点,B - 二轨单点,142,324,761176,27 + 0.0
T,6,"Telephone","Lady GaGa",,,分开,126 + 456、126 + 473、126 + 456、126 + 473、126 + 456、126 + 473、126 + 456、126 + 473、126 + 456、126 + 473,A - 二一轨滑条^^^B - 二一轨滑条,A - 四轨长条左滑^^^B - 三轨长条右滑,287,544,59 + 0.4,126,A - 二一轨滑条,A - 四轨长条左滑,287,544,1350720,30 + 0.2
F,9,"Fight For You","潘玮柏",20,,分开,50 + 639,A - 一轨长条开始、四轨长条开始^^^B - 一轨长条开始、四轨长条开始,A - 一轨长条中间、四轨长条中间^^^B - 一轨长条中间、四轨长条中间,639,1297,102 - 0.4,639,B - 一轨长条开始、四轨长条开始,B - 一轨长条中间、四轨长条中间,639,1297,2250761,51 - 0.2
,,"Sky","Steerner",,红色,分开,88 + 535、88 + 537,A - 二轨单点^^^B - 二轨长条中间,A - 一轨长条右滑、四轨长条左滑^^^B - 二轨长条结尾、三轨长条右滑,234,733,88 + 0.4,535、537,B - 二轨长条中间,B - 二轨长条结尾、三轨长条右滑,234,733,1372577,46 + 0.2
,,"可以了","陈奕迅",,红色,存气,176 + 292,A - 一轨单点、四轨单点^^^B - 一轨长条右滑,A - 二轨长条左滑、三轨长条右滑^^^B - 四轨单点,200,443,57 + 0.2,313,B - 四轨长条左滑,B - 二轨单点,200,443,949730,29 - 0.3
,,"有点甜","汪苏泷 / BY2",,红色,分开,94 + 219,A - 三轨单点^^^B - 二轨长条开始,A - 三轨单点^^^B - 一轨长条右滑、四轨长条左滑,177,397,60 + 0.2,219,B - 二轨长条开始,B - 一轨长条右滑、四轨长条左滑,177,397,945660,33 + 0.1
O,7,"偶像万万岁","TimeZ",,,分开,67 + 455,A - 二轨长条开始^^^B - 一轨单点、四轨单点,A - 二轨单点、三轨单点^^^B - 四轨长条中间,272,572,61 + 0.1,67,A - 二轨长条开始,A - 二轨单点、三轨单点,272,572,1186615,31 + 0.1
,,"长腿叔叔","袁娅维",,红色,存气,141 + 341、141 + 342、141 + 347,A - 一轨单点、三轨单点^^^B - 二轨单点,A - 二轨长条结尾^^^B - 二轨单点,171,391,53 + 0.0,354,B - 一轨长条开始,B - 三轨长条结尾,171,391,779009,27 - 0.5
L,6,"Landing","温岚",,红色,分开,319 + 408、319 + 409、319 + 410,B - 四轨长条开始^^^B - 三四轨滑键,B - 三轨单点^^^B - 三轨单点,215,462,54 - 0.4,319,B - 四轨长条开始,B - 三轨单点,215,462,989360,28 - 0.5
I,8,"I Want My Tears Back","NIGHT WISH",,红色,分开,802 + 948,B - 二轨单点、四轨长条开始^^^B - 二轨长条中间、三轨长条中间,B - 二轨长条中间、三轨长条中间^^^B - 二轨长条左滑、四轨长条左滑,601,1432,143 + 0.1,946,B - 二轨长条中间、三轨长条中间,B - 二轨长条左滑、四轨长条左滑,601,1432,2789886,78 - 0.4
,,"Faded","Alan Walker",,红色,分开,60 + 290、60 + 303,A - 四轨单点^^^B - 二轨单点,A - 三轨长条中间^^^B - 三轨长条中间,156,345,39 - 0.5,290、303,B - 二轨单点,B - 三轨长条中间,156,345,587953,20 - 0.3
,,"恋爱循环","花泽香菜",100,红色,分开,68 + 324,A - 四轨长条中间^^^B - 四轨长条中间,A - 二轨单点、三轨长条结尾^^^B - 二轨单点、三轨长条结尾,266,502,83 - 0.2,324,B - 四轨长条中间,B - 二轨单点、三轨长条结尾,266,502,1082226,41 + 0.4
,,"Love Story","Taylor Swift",,红色,存气,299 + 498、300 + 497、304 + 493,A - 三轨单点^^^B - 二轨单点,A - 二轨长条左滑、三四轨滑键^^^B - 二一轨滑键、三轨长条右滑,319,601,73 - 0.4,527,B - 一轨单点、三轨单点,B - 二一轨滑键、三轨长条右滑,319,601,1294424,41 + 0.1
,,"我们不该这样的","张赫宣",,红色,存气,110 + 285、113 + 285、115 + 283、115 + 285,A - 一轨单点^^^B - 四轨单点,A - 四轨单点^^^B - 三四轨滑键,144,346,61 - 0.2,291,B - 一轨单点,B - 三轨单点,144,346,861616,31 - 0.2
,,"LOVE IT LIVE IT","YDPP",,红色,分开,398 + 484,B - 一轨单点^^^B - 二轨单点、三轨单点,B - 一轨单点^^^B - 三轨单点,230,557,59 + 0.2,484,B - 二轨单点、三轨单点,B - 三轨单点,230,557,1118688,32 + 0.1
,,"动物森林","范玮琪",,红色,分开,186 + 263、186 + 264、187 + 263、187 + 264,B - 一轨长条中间^^^B - 二一轨滑键,B - 三四轨滑键^^^B - 三轨长条结尾,137,305,46 - 0.1,186,B - 一轨长条中间,B - 三四轨滑键,137,305,703043,23 + 0.1
,,"无限大","孙燕姿",,红色,分开,55 + 165、55 + 167,A - 三轨长条左滑^^^A - 二轨长条中间,A - 三轨长条中间^^^A - 四轨长条左滑,345,476,56 - 0.2,165、167,A - 二轨长条中间,A - 四轨长条左滑,345,476,1037959,29 - 0.4
D,10,"大艺术家(困难版)","蔡依林",,,分开,811 + 922,B - 三轨单点^^^B - 一轨单点、三轨单点,B - 二轨长条结尾、四轨长条结尾^^^B - 二轨长条中间、四轨长条中间,721,1382,112 + 0.4,883,B - 一轨单点、三轨单点,B - 二轨长条中间、四轨长条中间,721,1382,2553544,58 - 0.4
,,"Be My Baby","Wonder Girls",,,分开,182 + 762、186 + 762、187 + 762,A - 四五轨滑键^^^B - 一二轨滑条、四五轨滑条,A - 一轨长条结尾、五轨长条结尾^^^B - 二轨长条结尾、五轨长条结尾,678,1067,86 + 0.4,182、186、187,A - 四五轨滑键,A - 一轨长条结尾、五轨长条结尾,678,1067,2014316,43 + 0.2
S,9,"SWEET TALKER","TWICE",,,分开,408 + 972,A - 二轨长条中间、三轨长条中间^^^B - 一轨单点,A - 二一轨滑键、三四轨滑键^^^B - 三轨长条结尾,530,1145,109 - 0.1,972,B - 一轨单点,B - 三轨长条结尾,530,1145,2206529,55 - 0.3
,,"专属味道","汪苏泷/林希儿",,,分开,247 + 738、247 + 740、332 + 738、332 + 740、566 + 738、566 + 740、651 + 738、651 + 740,A - 二轨单点、四轨单点^^^B - 三轨长条中间,A - 二轨单点^^^B - 三轨长条右滑,417,871,71 - 0.2,738、740,B - 三轨长条中间,B - 三轨长条右滑,417,871,1496202,39 - 0.2
D,9,"Dear Future Husband","Meghan Trainor",,,分开,160 + 464、160 + 465、160 + 466、160 + 796、160 + 797、160 + 464、160 + 465、160 + 466、160 + 796、160 + 797,A - 三轨单点^^^B - 四轨单点,A - 二一轨滑键^^^B - 一轨长条结尾,436,1068,73 + 0.4,160、161、464、465、466、796、797,A - 三轨单点,A - 二一轨滑键,436,1068,1949856,37 - 0.3
,,"剩下的盛夏","TFBOYS",,红色,分开,114 + 318、114 + 319、114 + 320、114 + 321、114 + 327、115 + 318、115 + 319、115 + 320、115 + 321、115 + 327,A - 四轨长条中间^^^B - 二轨长条结尾,A - 三轨长条右滑^^^B - 四轨长条左滑,279,583,65 + 0.3,114、120,A - 四轨长条中间,A - 三轨长条右滑,279,583,932971,36 + 0.3
,,"非酋","薛明媛/朱贺",,红色,分开,79 + 191,A - 四轨单点^^^B - 四轨单点,A - 二轨单点^^^B - 三轨长条右滑,130,310,52 - 0.2,191,B - 四轨单点,B - 三轨长条右滑,130,310,815867,26 - 0.2
,,"万有引力","汪苏泷",,红色,分开,100 + 157,B - 三轨单点^^^B - 二轨单点,B - 二轨长条结尾^^^B - 二轨长条中间,56,204,40 - 0.2,157,B - 二轨单点,B - 二轨长条中间,56,204,436500,20 + 0.3
Y,9,"一吻天荒","胡歌",20,,分开,686 + 1197,B - 二一轨滑键、四轨单点^^^B - 二一轨滑键、三四轨滑键,B - 二轨长条结尾、三轨长条结尾^^^B - 一轨长条结尾、四轨长条结尾,465,1660,124 + 0.1,1197,B - 二一轨滑键、三四轨滑键,B - 一轨长条结尾、四轨长条结尾,465,1660,2516233,63 - 0.5
,,"Just Like Fire","P!nk",,,分开,160 + 574,A - 二轨单点、五轨长条开始^^^B - 二轨单点、五轨长条开始,A - 一轨长条中间、四轨单点^^^B - 一轨长条中间、四轨单点,403,1008,90 + 0.0,160、574,A - 二轨单点、五轨长条开始,A - 一轨长条中间、四轨单点,403,1008,2178890,45 + 0.0
B,6,"Boys","Charli XCX",,,分开,353 + 416,B - 二轨长条开始^^^B - 四轨单点,B - 二轨长条结尾^^^B - 一轨长条中间,284,580,54 + 0.3,355,B - 二轨长条左滑,B - 四轨单点,284,580,1067390,28 + 0.1
,,"Hola","Flo Rida/Maluma",,红色,分开,98 + 244,A - 二轨单点、四轨单点^^^B - 三轨单点,A - 三四轨滑键^^^B - 一轨长条右滑,175,335,53 - 0.5,98,A - 二轨单点、四轨单点,A - 三四轨滑键,175,335,821115,27 + 0.0
,,"Born This Way","Lady Gaga",,红色,分开,143 + 353,A - 二轨长条开始、四轨长条开始^^^B - 一轨长条开始、四轨长条开始,A - 一轨长条结尾、三轨长条结尾^^^B - 四轨长条结尾,206,450,55 - 0.1,353,B - 一轨长条开始、四轨长条开始,B - 四轨长条结尾,206,450,974194,28 - 0.4
,,"逆战","张杰",,红色,分开,67 + 238,A - 二轨单点^^^B - 三轨单点,A - 二一轨滑键、三四轨滑键^^^B - 二轨单点、三轨单点,179,350,65 - 0.5,67,A - 二轨单点,A - 二一轨滑键、三四轨滑键,179,350,1042784,36 - 0.5
,,"Trouble Is a Friend","Lenka",,红色,存气,184 + 358,A - 一轨单点、四轨单点^^^B - 一轨单点、四轨单点,A - 二轨长条结尾、三轨长条结尾^^^B - 一轨单点,220,592,64 + 0.0,410,B - 三轨长条中间,B - 四三轨滑键,220,592,1112068,32 + 0.0
,,"You Are","GOT7",,红色,分开,75 + 197,A - 一轨单点^^^B - 一轨长条开始,A - 四轨单点^^^B - 一轨单点,110,293,51 + 0.1,197,B - 一轨长条开始,B - 一轨单点,110,293,665746,25 + 0.1
,,"不完美小孩","TFBOYS",,红色,分开,271 + 367,B - 一轨长条开始^^^B - 一轨长条开始,B - 四轨长条中间^^^B - 三轨单点,208,529,57 - 0.1,367,B - 一轨长条开始,B - 三轨单点,208,529,941444,29 - 0.5
,,"Real Change","Masetti",,红色,分开,274 + 407、275 + 407,B - 二轨单点^^^B - 二轨单点,B - 一轨单点^^^B - 二轨单点,212,435,54 + 0.0,274、275,B - 二轨单点,B - 一轨单点,212,435,1023982,28 + 0.0
,,"DAY BY DAY","T-ara",,红色,分开,213 + 310,B - 二轨长条开始、三轨长条开始^^^B - 二轨单点,B - 四轨单点^^^B - 二轨单点、四轨单点,164,354,58 + 0.0,213,B - 二轨长条开始、三轨长条开始,B - 四轨单点,164,354,945025,30 + 0.0
,,"走着走着就散了","庄心妍",,红色,分开,405 + 484,B - 一轨单点、三轨单点^^^B - 一轨长条中间,B - 二轨长条开始^^^B - 一轨长条结尾、四轨长条结尾,274,587,64 - 0.4,484,B - 一轨长条中间,B - 一轨长条结尾、四轨长条结尾,274,587,1091957,33 + 0.4
H,6,"好想告诉你","谷泽智文",,红色,分开,87 + 406,A - 一轨长条中间^^^B - 一轨长条右滑,A - 一轨单点、四轨单点^^^B - 二轨长条左滑,291,704,73 - 0.4,406,B - 一轨长条右滑,B - 二轨长条左滑,291,704,1371200,36 + 0.3
C,9,"chAngE","miwa",,,分开,940 + 1032,B - 三轨长条中间^^^B - 一轨长条开始、三轨长条开始,B - 一轨长条右滑、三轨长条右滑^^^B - 三轨单点,507,1164,87 + 0.4,1032,B - 一轨长条开始、三轨长条开始,B - 三轨单点,507,1164,2514494,46 + 0.0
,,"Numb","Linkin Park",,红色,存气,213 + 500、227 + 475,A - 二轨单点、三轨长条开始^^^B - 二轨单点、三轨长条结尾,A - 一轨单点、三轨单点^^^B - 二轨长条结尾、三轨长条结尾,244,668,86 + 0.0,504、506,B - 二轨长条中间,B - 二轨单点、三轨长条中间,244,668,1160028,44 + 0.0
,,"SHIORI","ClariS",50,,分开,1122 + 1279,B - 一轨单点、五轨长条左滑^^^B - 一轨长条开始、五轨长条左滑,B - 二轨单点^^^B - 二轨单点、五轨长条中间,539,1420,131 + 0.0,1279,B - 一轨长条开始、五轨长条左滑,B - 二轨单点、五轨长条中间,539,1420,2881559,66 + 0.3
,,"Get It On The Floor","DMX",,,分开,240 + 381,A - 五轨长条左滑^^^A - 四轨长条开始,A - 一轨单点、五轨长条左滑^^^A - 三轨长条结尾、五轨单点,613,1241,91 + 0.1,240,A - 五轨长条左滑,A - 一轨单点、五轨长条左滑,613,1241,2347396,47 + 0.0
,,"一笑倾城","汪苏泷",,红色,分开,322 + 370,B - 二轨单点、四轨单点^^^B - 二轨长条中间,B - 三轨长条开始^^^B - 一轨单点,161,409,63 + 0.2,322,B - 二轨单点、四轨单点,B - 三轨长条开始,161,409,1054743,32 + 0.4
,,"稀罕没理由","潘玮柏",,红色,分开,99 + 165、99 + 166、99 + 165、99 + 166、99 + 165、99 + 166、99 + 165、99 + 166、99 + 165、99 + 166,B - 四轨单点^^^B - 四轨单点,B - 二轨单点^^^B - 二轨单点、四轨单点,96,196,44 + 0.0,165、166,B - 四轨单点,B - 二轨单点、四轨单点,96,196,486744,23 + 0.0
,,"The Fire","吉克隽逸",,红色,分开,167 + 363、167 + 364、168 + 363、168 + 364,A - 一轨单点^^^B - 三轨单点,A - 二轨单点、四轨单点^^^B - 一轨单点、三轨单点,270,506,66 - 0.2,167、168、363、364,A - 一轨单点,A - 二轨单点、四轨单点,270,506,940338,33 - 0.1
,,"我的梦","张靓颖",,红色,存气,196 + 406、204 + 398,A - 二轨单点^^^B - 四轨单点,A - 二一轨滑键^^^B - 一轨单点,238,606,69 + 0.2,177、379,A - 一轨单点,A - 二轨长条中间,238,606,1057776,34 + 0.1
C,9,"Crash","The Primitives",,,分开,175 + 1114、175 + 1177,A - 一轨长条开始、四轨长条中间^^^B - 二轨长条中间、四轨单点,A - 一轨长条右滑、四轨长条左滑^^^B - 一轨长条中间、三轨长条中间,510,1268,89 - 0.4,175,A - 一轨长条开始、四轨长条中间,A - 一轨长条右滑、四轨长条左滑,510,1268,2156971,45 - 0.4
G,8,"工笔","Awaken-F",,,分开,159 + 432、159 + 433、159 + 434、159 + 435、159 + 436、159 + 437、159 + 438、432 + 591、433 + 591、434 + 591,A - 三轨单点^^^B - 四轨单点,A - 四轨单点^^^B - 二轨单点,360,792,71 - 0.3,432、433、434、435、436、437、438,B - 四轨单点,B - 二轨单点,360,792,1832831,36 + 0.0
H,9,"Hacking to the Gate","伊藤加奈子",50,,分开,822 + 1082,B - 二轨长条中间、三轨长条中间^^^B - 三轨单点,B - 二轨单点、三轨单点^^^B - 一轨长条结尾、三轨单点,569,1160,102 + 0.0,822,B - 二轨长条中间、三轨长条中间,B - 二轨单点、三轨单点,569,1160,2153668,52 + 0.0
H,9,"Hey Baby 你是我的","李佳薇",,,分开,242 + 511、242 + 752、511 + 752,A - 四轨长条左滑^^^B - 四轨长条左滑,A - 一轨单点^^^B - 一轨单点,441,934,77 + 0.0,242、511、752,A - 四轨长条左滑,A - 一轨单点,441,934,1888852,39 - 0.5
,,"Turn Up","周汤豪",,红色,分开,186 + 494,A - 四轨长条中间^^^B - 一轨长条中间,A - 四轨单点^^^B - 一轨单点,289,587,68 - 0.4,186、494,A - 四轨长条中间,A - 四轨单点,289,587,1106190,34 - 0.2
,,"全部都是你","Dragon Pig",,红色,分开,129 + 303、129 + 308、134 + 303、134 + 308、134 + 303、134 + 308、134 + 303、134 + 308、134 + 303、134 + 308,A - 三轨长条开始^^^B - 二轨长条开始,A - 三轨单点^^^B - 二轨单点,174,348,52 + 0.0,129、134、303、308,A - 三轨长条开始,A - 三轨单点,174,348,645108,26 + 0.0
,,"Crossing Field","LiSA",50,,分开,1656 + 1830、1656 + 1832,B - 二一轨滑条、四五轨滑条^^^B - 二轨单点、四轨单点,B - 一轨长条结尾、三轨长条结尾^^^B - 二轨单点、四轨单点,903,2047,132 - 0.4,1830、1832,B - 二轨单点、四轨单点,B - 二轨单点、四轨单点,903,2047,3026358,68 - 0.2
S,7,"Sugar Rush","吴映洁",,红色,分开,212 + 466,A - 二轨单点^^^B - 四轨单点,A - 四轨长条中间^^^B - 二轨长条中间,273,549,64 + 0.2,212、466,A - 二轨单点,A - 四轨长条中间,273,549,1163533,32 + 0.1
,,"Just Dance","王一博",,红色,分开,158 + 434,A - 一轨长条中间^^^B - 四轨单点,A - 四三轨滑键^^^B - 三轨单点,244,524,63 - 0.4,434,B - 四轨单点,B - 三轨单点,244,524,1193943,33 - 0.5
,,"吸引定律","Awaken-F",,红色,分开,123 + 300,A - 三轨单点^^^B - 二轨单点,A - 二轨单点^^^B - 三轨单点,197,413,49 + 0.0,123、300,A - 三轨单点,A - 二轨单点,197,413,795268,25 - 0.5
B,6,"Bad Romance","Lady Gaga",,红色,分开,415 + 483、415 + 485、415 + 487、416 + 485、416 + 487,B - 一轨单点^^^B - 二轨单点、四轨单点,B - 四轨单点^^^B - 四轨单点,253,539,75 + 0.1,483、485、487,B - 二轨单点、四轨单点,B - 四轨单点,253,539,1436656,39 + 0.0
,,"雨后的咖啡","SNP",,红色,分开,116 + 365,A - 三轨单点^^^B - 二轨单点,A - 三轨长条开始^^^B - 二轨长条开始,272,517,47 + 0.0,116、365,A - 三轨单点,A - 三轨长条开始,272,517,888495,24 - 0.5
,,"江南","林俊杰",,红色,分开,118 + 414,A - 二轨单点^^^B - 一轨长条中间,A - 一轨单点、三轨长条结尾^^^B - 三轨单点,213,496,64 - 0.2,118,A - 二轨单点,A - 一轨单点、三轨长条结尾,213,496,931630,33 - 0.2
,,"怎样说清此刻的心情","BY2",,红色,分开,193 + 291、193 + 503,A - 二轨单点^^^A - 二一轨滑条、四轨单点,A - 一轨长条右滑^^^A - 一轨长条中间、三轨长条中间,373,611,71 + 0.1,193,A - 二轨单点,A - 一轨长条右滑,373,611,1061290,36 - 0.3
,,"大碗宽面","吴亦凡",,红色,分开,84 + 166、84 + 169,A - 三轨单点^^^B - 一轨长条中间,A - 四轨单点^^^B - 一轨长条右滑,164,383,55 + 0.4,84,A - 三轨单点,A - 四轨单点,164,383,759272,29 + 0.4
B,9,"Butter Fly","和田光司",,,分开,794 + 922,B - 二轨长条开始、三轨长条开始^^^B - 二轨长条开始、三轨长条开始,B - 二轨长条左滑、三轨长条右滑^^^B - 一轨长条中间、四轨长条中间,643,1381,102 + 0.2,794,B - 二轨长条开始、三轨长条开始,B - 二轨长条左滑、三轨长条右滑,643,1381,2473198,51 + 0.3
,,"芥末巧克力","杨丞琳",,红色,分开,288 + 338、290 + 338,B - 二轨单点^^^B - 二轨单点,B - 四轨单点^^^B - 二轨单点,169,410,64 + 0.0,288、290、338,B - 二轨单点,B - 四轨单点,169,410,1071848,32 + 0.0
R,9,"Rookie","Red Velvet",,,分开,251 + 720,A - 二轨单点、四轨长条开始^^^B - 二轨单点、四轨长条开始,A - 四轨单点^^^B - 四轨单点,350,892,81 + 0.4,251、720,A - 二轨单点、四轨长条开始,A - 四轨单点,350,892,1868252,41 - 0.3
L,6,"Look What You Made Me Do","Taylor Swift",,红色,存气,185 + 227,A - 三轨单点^^^B - 一二轨滑条,A - 一轨单点^^^B - 一轨长条结尾、四轨长条结尾,210,530,66 + 0.4,251,B - 三四轨滑条,B - 一轨长条结尾、四轨长条结尾,210,530,1221454,36 - 0.4
,,"淘汰","陈奕迅",,红色,分开,351 + 438,B - 二轨单点、三轨单点^^^B - 一轨单点、四轨单点,B - 四轨长条开始^^^B - 四轨长条左滑,253,598,67 - 0.2,438,B - 一轨单点、四轨单点,B - 四轨长条左滑,253,598,1001848,36 + 0.0
,,"克罗地亚狂想曲","马克西姆",,,分开,466 + 758、466 + 760、467 + 758、467 + 760、468 + 758、468 + 760、469 + 758、469 + 760、470 + 758、470 + 760,A - 一轨单点^^^B - 二轨单点,A - 二轨单点^^^B - 二轨长条右滑,536,1058,90 - 0.5,758、760,B - 二轨单点,B - 二轨长条右滑,536,1058,2557742,46 - 0.3
H,7,"好想大声说喜欢你","BAAD",,,分开,201 + 600,A - 一轨长条开始^^^B - 一轨单点、三轨单点,A - 四轨长条左滑^^^B - 四轨长条左滑,396,976,78 + 0.3,600,B - 一轨单点、三轨单点,B - 四轨长条左滑,396,976,1557991,40 - 0.1
T,7,"TOUCH MY HEART","罗志祥",,红色,分开,217 + 462,A - 一轨单点^^^B - 四轨单点,A - 二轨单点^^^B - 三轨单点,385,689,63 - 0.4,217、462,A - 一轨单点,A - 二轨单点,385,689,1180575,31 + 0.3
,,"朝代","排骨教主",,红色,分开,121 + 294,A - 三轨单点^^^B - 二轨单点,A - 三轨长条中间^^^B - 二轨长条中间,227,477,63 + 0.0,121、294,A - 三轨单点,A - 三轨长条中间,227,477,981844,32 - 0.5
,,"Let Me Hear","Fear, and Loathing in Las Vegas",,,分开,1232 + 1407、1232 + 1409、1235 + 1407、1235 + 1409、1238 + 1407、1238 + 1409,B - 一轨长条中间、三轨单点^^^B - 一轨单点,B - 二轨长条左滑、四轨单点^^^B - 二轨单点,833,1687,135 - 0.4,1232、1238,B - 一轨长条中间、三轨单点,B - 二轨长条左滑、四轨单点,833,1687,3796228,68 - 0.1
G,10,"更新","Sabão",,,分开,558 + 1053、1053 + 1196,A - 一轨长条右滑、三四轨滑键^^^B - 一轨单点、四轨单点,A - 一轨长条中间、四轨长条中间^^^B - 一轨长条结尾、四轨长条结尾,696,1587,99 - 0.1,1053,B - 一轨单点、四轨单点,B - 一轨长条结尾、四轨长条结尾,696,1587,2874007,50 + 0.1
,,"恋爱幸运曲奇","AKB48",,红色,分开,225 + 354,B - 一轨单点^^^B - 三四轨滑键,B - 一轨长条右滑^^^B - 二轨长条中间,148,420,52 - 0.1,225,B - 一轨单点,B - 一轨长条右滑,148,420,850572,26 + 0.4
,,"素颜","许嵩/何曼婷",,红色,分开,93 + 144、93 + 146、93 + 147、93 + 144、93 + 146、93 + 147、93 + 144、93 + 146、93 + 147、93 + 144,B - 一轨单点^^^B - 四轨单点,B - 一轨单点^^^B - 四轨长条结尾,91,209,39 + 0.1,144、146、147,B - 四轨单点,B - 四轨长条结尾,91,209,420472,21 - 0.4
Z,7,"再遇不到你这样的人","庄心妍",,红色,分开,504 + 668,B - 一轨单点、三轨单点^^^B - 一轨长条开始、三轨长条开始,B - 一轨长条中间^^^B - 二轨单点,376,868,85 + 0.4,668,B - 一轨长条开始、三轨长条开始,B - 二轨单点,376,868,1583738,43 + 0.4
S,10,"帅一个","罗志祥",,,分开,623 + 954,B - 一轨长条中间、三轨长条开始^^^B - 二轨长条右滑,B - 二轨长条右滑^^^B - 二轨长条右滑、四轨单点,486,1177,99 - 0.1,623,B - 一轨长条中间、三轨长条开始,B - 二轨长条右滑,486,1177,2230112,50 - 0.5
,,"狂欢夜","QQ炫舞原创",,红色,分开,250 + 470,B - 四轨单点^^^B - 一轨单点,B - 一轨长条中间^^^B - 一轨单点、四轨长条结尾,160,524,62 + 0.3,470,B - 一轨单点,B - 一轨单点、四轨长条结尾,160,524,1022941,31 + 0.4
,,"芒种","音阙诗听/赵方婧",,红色,分开,114 + 320,A - 三轨单点^^^B - 三轨单点,A - 三轨长条中间^^^B - 一轨单点,205,433,67 - 0.1,320,B - 三轨单点,B - 一轨单点,205,433,934954,36 + 0.0
,,"卡农","Pachelbel",,,分开,168 + 878,A - 一轨单点、五轨单点^^^B - 二轨单点,A - 三轨单点^^^B - 一轨单点、四轨单点,472,925,81 + 0.0,168,A - 一轨单点、五轨单点,A - 三轨单点,472,925,1989624,41 + 0.0
S,9,"Sparkling Daydream","ZAQ",100,,分开,337 + 979、337 + 980、338 + 979、338 + 980,A - 二轨单点^^^B - 一轨单点,A - 一轨单点、四轨长条结尾^^^B - 一轨单点、三轨单点,639,1450,110 - 0.3,337、338,A - 二轨单点,A - 一轨单点、四轨长条结尾,639,1450,2799705,55 + 0.3
,,"我们的歌","王力宏",,,分开,464 + 652,B - 四轨长条开始^^^B - 三四轨滑条,B - 一轨单点^^^B - 三轨单点,347,750,59 - 0.2,652,B - 三四轨滑条,B - 三轨单点,347,750,1393175,32 - 0.3
,,"心率","鹿晗",,红色,分开,73 + 166,A - 二轨单点^^^B - 三轨单点,A - 一轨长条中间^^^B - 二轨长条中间,115,270,38 + 0.2,73,A - 二轨单点,A - 一轨长条中间,115,270,497118,20 - 0.3
,,"Flamingo","米津玄師",,红色,分开,113 + 450、113 + 456、114 + 450、114 + 456、340 + 450、340 + 456、341 + 450、341 + 456,A - 二轨长条中间^^^B - 二轨单点,A - 三轨单点^^^B - 三轨单点,270,579,61 + 0.4,450、456,B - 二轨单点,B - 三轨单点,270,579,1069125,31 - 0.1
,,"我乐意(QQ炫舞系列主题曲)","许嵩",,红色,分开,354 + 580,B - 一轨长条中间^^^B - 一轨长条开始、四轨长条开始,B - 一轨单点、四轨单点^^^B - 一轨长条结尾、四轨长条结尾,276,662,64 - 0.1,354,B - 一轨长条中间,B - 一轨单点、四轨单点,276,662,1140206,32 + 0.4
B,6,"Baby","Justin Bieber",,红色,分开,128 + 198、128 + 355、355 + 425,A - 一轨单点、三轨单点^^^A - 一轨单点、三轨单点,A - 三轨单点^^^A - 三轨单点,268,551,61 - 0.2,128、355,A - 一轨单点、三轨单点,A - 三轨单点,268,551,1122081,30 + 0.4
X,6,"星期天","张紫豪",,红色,存气,198 + 434、216 + 415,A - 二轨单点^^^B - 二轨长条中间,A - 二轨单点、三轨单点^^^B - 一轨单点,242,529,71 - 0.2,436、437、438,B - 三轨单点,B - 一轨单点,242,529,1083275,37 - 0.1
F,9,"flower of sorrow","花たん",,,分开,521 + 1185,A - 四轨长条中间^^^B - 一轨长条中间,A - 二一轨滑键、四轨单点^^^B - 一轨单点、三四轨滑键,624,1347,86 + 0.2,521、1185,A - 四轨长条中间,A - 二一轨滑键、四轨单点,624,1347,2350367,43 + 0.1
,,"ME!","Taylor Swift/Brendon Urie",,红色,分开,62 + 187、62 + 188、62 + 190,A - 一轨长条开始、四轨单点^^^B - 三轨单点,A - 一轨单点^^^B - 一轨长条结尾,153,327,57 + 0.4,187、188、190,B - 三轨单点,B - 一轨长条结尾,153,327,717210,29 - 0.3
,,"勋章","鹿晗",,红色,存气,70 + 118,A - 二轨单点^^^B - 二轨单点,A - 四轨单点^^^B - 三轨长条结尾,74,188,40 - 0.5,137,B - 三轨单点,B - 三轨长条结尾,74,188,469257,20 + 0.0
L,6,"Love So Soft","Kelly Clarkson",,,分开,133 + 373,A - 二轨单点^^^B - 二轨单点,A - 一轨长条右滑、四轨长条左滑^^^B - 四轨长条中间,313,633,64 - 0.2,133,A - 二轨单点,A - 一轨长条右滑、四轨长条左滑,313,633,1370257,33 + 0.4
,,"漫时光","QQ炫舞",,红色,分开,428 + 515、430 + 515,B - 一轨长条中间^^^B - 四轨长条中间,B - 一轨长条结尾^^^B - 一轨单点,297,579,54 - 0.5,428、430,B - 一轨长条中间,B - 一轨长条结尾,297,579,1045409,29 - 0.1
J,7,"就是你","范玮琪",,,分开,423 + 733,B - 二轨单点^^^B - 三轨长条右滑,B - 四轨单点^^^B - 一轨单点,384,898,70 + 0.0,423,B - 二轨单点,B - 四轨单点,384,898,1402047,35 + 0.4
